By portfolio,Gross carrying amount,Stage 1,Stage 2,Stage 3,Total,Stage 1,Stage 2,Stage 3,Total
First lien residential mortgages,$m,$m,$m,$m,$m,$m,$m,$m,$m
First lien residential mortgages,"352,282","336,666","12,233","3,383","352,282",(755),(125),(188),(442)
First lien residential mortgages,of which: interest only (including offset),"32,568","29,143","3,074",351,"32,568",(116),(9),"(19),(88)"
First lien residential mortgages,affordability (including US adjustable rate mortgages),"16,080","13,265","2,209",606,"16,080",(27),(11),"(11),(5)"
Other personal lending,"108,527","93,468","12,831","2,228","108,527","(3,976)",(702),"(2,214)","(1,060)"
Other personal lending,other,"82,951","74,174","7,288","1,489","82,951","(1,884)",(305),"(914),(665)"
Other personal lending,credit cards,"23,299","17,327","5,292",680,"23,299","(2,047)",(386),"(1,281),(380)"
Other personal lending,second lien residential mortgages,744,593,100,51,744,(22),(3),"(9),(10)"
Other personal lending,motor vehicle finance,"1,533","1,374",151,8,"1,533",(23),(8),"(10),(5)"
At 31 Dec 2020,"460,809","430,134","25,064","5,611","460,809","(4,731)",(827),"(2,402)","(1,502)"
By geography,Gross carrying amount,Stage 1,Stage 2,Stage 3,Total,Stage 1,Stage 2,Stage 3,Total
Europe,"213,663","200,120","11,032","2,511","213,663","(2,344)",(247),"(1,271)",(826)
Europe,of which: UK,"174,535","163,338","9,476","1,721","174,535","(1,998)",(223),"(1,230),(545)"
Asia,"187,313","178,175","7,969","1,169","187,313",(921),(234),(446),(241)
Asia,of which: Hong Kong,"123,591","118,252","5,133",206,"123,591",(387),(102),"(237),(48)"
MENA,"5,533","4,879",403,251,"5,533",(318),(54),(112),(152)
North America,"46,378","40,387","4,613","1,378","46,378",(425),(93),(200),(132)
Latin America,"7,922","6,573","1,047",302,"7,922",(723),(199),(373),(151)
At 31 Dec 2020,"460,809","430,134","25,064","5,611","460,809","(4,731)",(827),"(2,402)","(1,502)"
