2020,2019,2018,$m,$m,$m
Reported profit before tax,"8,777","13,347","19,890",$m,"$m,$m"
Currency translation,-,(122),(519),$m,"$m,$m"
Significant items:,"3,372","8,924","1,828",$m,"$m,$m"
-costs of structural reform,-,158,361,$m,"$m,$m"
-customer redress programmes,(33),"1,444",93,$m,"$m,$m"
"-disposals, acquisitions and investment in new businesses",10,(768),165,$m,"$m,$m"
-fair value movements on financial instruments,(264),(84),100,$m,"$m,$m"
-impairment of goodwill and other intangibles,"1,090","7,349",-,$m,"$m,$m"
-past service costs of guaranteed minimum pension benefits equalisation,17,-,228,$m,"$m,$m"
-restructuring and other related costs,"2,078",827,66,$m,"$m,$m"
-settlements and provisions in connection with legal and regulatory matters,12,(61),816,$m,"$m,$m"
-goodwill impairment (share of profit in associates and joint ventures),462,-,-,$m,"$m,$m"
-currency translation on significant items,-,59,(1),$m,"$m,$m"
Adjusted profit before tax,"12,149","22,149","21,199",$m,"$m,$m"
