Subsidiaries,% of share class held by immediate parent company (or by the Group where this varies),Footnotes
HSBC Bank Argentina S.A.,100.00,53
HSBC Bank Armenia cjsc,100.00,65
HSBC Bank Australia Limited,100.00,56
HSBC Bank Bermuda Limited,100.00,21
HSBC Bank Canada,100.00,66
HSBC Bank Capital Funding (Sterling 1) LP,N/A,"0, 47"
HSBC Bank Capital Funding (Sterling 2) LP,N/A,"0, 47"
HSBC Bank Egypt S.A.E,99.63,"(94.54),67"
HSBC Bank Malaysia Berhad,100.00,48
HSBC Bank Malta p.l.c.,70.03,68
HSBC Bank Middle East Limited,100.00,"5, 69"
HSBC Bank Middle East Limited Representative Office Morocco SARL (In Liquidation),100.00,70
HSBC Bank Oman S.A.O.G.,51.00,71
HSBC Bank Pension Trust (UK) Limited,100.00,16
HSBC Bank plc,100.00,16
Name\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,
Company Name           Shares    Dividends,,
HSBC Capital Limited   100.00    44,,
HSBC Card Services Inc. 100.00    13,,
HSBC Casa de Bolsa,S.A. de C.V.,Grupo Financiero HSBC 100.00    (99.99)    14
HSBC Cayman Limited    100.00    74,,
HSBC Cayman Services Limited 100.00    74,,
HSBC City Funding Holdings 100.00    16,,
HSBC Client Holdings Nominee (UK) Limited 100.00    16,,
HSBC Client Nominee (Jersey) Limited 100.00    75,,
HSBC Columbia Funding,LLC N/A        0,13
HSBC Continental Europe  99.99    34,,
HSBC Corporate Advisory (Malaysia) Sdn Bhd 100.00    48,,
HSBC Corporate Finance (Hong Kong) Limited 100.00    44,,
HSBC Corporate Trustee Company (UK) Limited 100.00    16,,
HSBC Custody Nominees (Australia) Limited 100.00    56,,
HSBC Custody Services (Guernsey) Limited 100.00    20,,
HSBC Daisy Investments (Mauritius) Limited 100.00    76,,
HSBC Diversified Loan Fund General Partner Sarl 100.00    77,,
HSBC Electronic Data Processing (Guangdong) Limited 100.00    10,78,
HSBC Finance & Leasing Company Limited,,
HSBC Diversified Loan Fund General Partner Sarl,100.00,77
HSBC Electronic Data Processing (Guangdong) Limited,100.00,"10,78"
HSBC Electronic Data Processing (Malaysia) Sdn Bhd,100.00,79
"HSBC Electronic Data Processing (Philippines), Inc.",99.99,80
HSBC Electronic Data Processing India Private Limited,100.00,81
HSBC Electronic Data Processing Lanka (Private) Limited,100.00,82
HSBC Electronic Data Service Delivery (Egypt) S.A.E.,100.00,83
HSBC Enterprise Investment Company (UK) Limited (In Liquidation),100.00,17
HSBC Epargne Entreprise (France),100.00,"(99.99),55"
HSBC Equator (UK) Limited (In Liquidation),100.00,17
HSBC Equipment Finance (UK) Limited,100.00,15
HSBC Equity (UK) Limited,100.00,16
HSBC Europe B.V.,100.00,16
