Region,Revenue (EURm),Cost of Sales (EURm),Gross Profit (EURm),Gross Margin (%),(2018),(2017),(2016),(2015)
Europe,"145,382","50,368","10,246","195,750",(266),(962),(438),"(1,228)"
UK,"137,985","22,395","9,816","160,380",(159),(828),(434),(987)
France,"3,520","21,120",376,"24,640",(39),(101),-,(140)
Germany,-,325,-,325,-,-,-,-
Switzerland,"1,183","6,165",-,"7,348",(6),(17),-,(23)
other,"2,694",363,54,"3,057",(62),(16),(1),(78)
Asia,"131,864","48,231","12,144","180,095",(42),(690),(463),(732)
Hong Kong,"86,892","33,061","8,043","119,953",(1),(353),(242),(354)
Australia,"16,997",693,603,"17,690",(5),(34),(33),(39)
India,"1,047",528,219,"1,575",(5),(21),(15),(26)
Indonesia,"67,329",204,396,-,(24),(18),-,(24)
mainland China,"8,966","1,190",656,"10,156",(2),(74),(68),(76)
Malaysia,"2,840","3,200",980,"6,040",(22),(73),(33),(95)
Singapore,"6,687","7,033",452,"13,720",(1),(60),(19),(61)
Taiwan,"5,286","1,004",297,"6,290",0,(14),-,(14)
other,"3,082","1,193",690,"4,275",(6),(37),(31),(43)
Middle East and North Africa (excluding Saudi Arabia),"2,303","3,914","1,042","6,217",(62),(235),(111),(297)
Egypt,-,346,88,346,-,-,-,-
UAE,"1,920","1,462",517,"3,382",(59),(121),(54),(180)
other,383,"2,106",437,"2,489",-,(111),(56),(114)
North America,"39,065","5,251","1,742","44,316",(122),(194),(142),(316)
US,"17,870","2,551","1,424","20,421",(8),(160),(134),(168)
Canada,"19,997","2,495",271,"22,492",(21),(25),(7),(46)
other,"1,198",205,47,"1,403",(93),(9),(1),(102)
Latin America,"3,564","4,329","1,594","7,893",(37),(524),(241),(561)
Mexico,"3,419","3,780","1,308","7,199",(31),(488),(224),(519)
other,145,549,286,694,(6),(36),-,(42)
At 31 Dec 2019,"322,178","112,093","26,768","434,271",(529),"(2,605)","(1,395)","(3,134)"
