,% of share class held by immediate parent company (or by the Group where this,% of share class held by immediate parent company (or by the Group where this,% of share class held by immediate parent company (or by the Group where this
Subsidiaries,varies) 100.00,,Footnotes 133
"HSBC Services USA Inc. HSBC Servicios Financieros,S.A.de C.V",100.00,(99.99),14
"HSBC Servicios,S.A.DEC.V., Grupo",,,
Financiero HSBC,100.00 100.00,(99.99) (99.99),14 455
HSBC SFH (France) HSBC SFT (C.I.) Limited,100.00,,20
HSBC Software Development (Guangdong),100.00,,
Limited HSBC Software Development (India) Private,,,134
Limited,100.00,,135
HSBC Software Development (Malaysia) Sdn Bhd,100.00,,79
HSBC Specialist Investments Limited,100.00,,16
HSBC Technology& Services (China) Limited,100.00,,136
HSBCTechnology8Services(USA) Inc.,100.00,,13
HSBC Transaction Services GmbH,100.00,（99.33),6.137
HSBC Trinkaus & Burkhardt (International) S.A,100.00,（99.33),52
HSBC Trinkaus & Burkhardt AG,99.33,,38
HSBC Trinkaus8 Burkhardt Gesellschaft fur Bankbeteiligungen mbH,100.00,(99.33),38
HSBC Trinkaus Europa Immobilien-Fonds Nr. 5,,,
GmbH,100.00,(99.33),38
HSBC Trinkaus Family Office GmbH,100.00 100.00,(99.33）),638
HSBC Trinkaus Immobilien Beteiligungs KG HSBC Trinkaus Real Estate GmbH,100.00,（99.33) （99.33),38 6.38
HSBC Trust Company (Canada),100.00,,115
"HSBC Trust Company (Delaware), National",,,
Association,100.00,,104
HSBC Trust Company (UK)Limited,100.00,,16
HSBC Trust CompanyAG (In Liquidation),100.00,,31
HSBC Trustee (C.I.)Limited,100.00,,124
HSBC Trustee (Cayman) Limited,100.00,,138
HSBC Trustee (Guernsey) Limited,100.00,,20
HSBC Trustee(Hong Kong) Limited,100.00,,44
HSBC Trustee (Singapore) Limited,100.00,,50
HSBC UK Bank plc,100.00,,15
HSBC UK Client Nominee Limited,100.00,,15
HSBC UK Holdings Limited,100.00,,2.16
HSBC USA Inc.,100.00,,118
HSBC Ventures USA Inc.,100.00,,13
HSBC Violet Investments (Mauritius) Limited,100.00,,76
HSBC Wealth Client Nominee Limited,100.00,,115
HSBC Yatirim Menkul Degerler A.S.,100.00,,122
HSI Asset Securitization Corporation,100.00,,13
HSI International Limited,100.00,(62.14),37
HSIL Investments Limited,100.00,,16
Hubei Macheng HSBC Rural Bank Company Limited,100.00,,139
Hubei Suizhou Cengdu HSBC Rural Bank,,,
Company Limited Hubei Tianmen HSBC Rural Bank Company,100.00,,"10,140"
Limited Hunan Pingjiang HSBC Rural Bank Company,100.00,,141
Limited,100.00,,10.142
Imenson Limited Infrared NF China Real Estate Investments LP,100.00,(62.14),37
INKAInternationaleKapitalanlagegesellschaft,N/A,,0186
mbH,100.00,(99.33),137
"Inmobiliaria Banci,S.A.de C.V.",100.00,（99.68),14
"Inmobiliaria Bisa,S.A.de C.V.",99.98,,14
"Inmobiliaria Grufin,S.A.de C.V.",,,
,100.00,（99.99),14
"Inmobiliaria Guatusi, S.A.de C.V.",100.00,(99.99),14
James Capel& Co.Limited,100.00,,16
James Capel (Nominees) Limited,100.00,,16
,100.00,,
James Capel (Taiwan) Nominees Limited,,,16
John Lewis Financial Services Limited,100.00,,16
Keyser Ullmann Limited,100.00,（99.99),16
Lion Corporate Services Limited,100.00 Lion International Corporate Services Limited 100.00,,"44 1,106"
