Footnotes,,Gross carrying/notional amount,Strong,Good,Satisfactory,Sub-standard,Credit impaired,Total,Allowance for ECL,Net
Loans and advances to customers at amortised cost,-,"506,231","233,320","256,584",36,"970,19","372,1052,477","(14,490)","1,037,987",
-,-,"499,836","199,138","165,507",5,"439,499,836,199,138,165,507,5","439,869,920","(1,974)","867,946",
-,-,"6,395","34,182","91,077",31,"531,6,395,34,182,91,077,31","531,163,185","(4,965)","158,220",
-,-,,,,,"-,19,095,19,095,277,277,19,095,7,439",(112),"11,656",,
-,-,,,,,"-,277,277,165",,(112),165,
Loans and advances to banks at amortised cost,-,"71,318","5,496","3,568",1,"276,81,658,42,81,616",,(42),"81,616",
-,-,"71,126","5,098","3,357",73,"79,654,(33),79,621",,(33),"79,621",
-,-,192,398,211,"1,203","-(9),1,995",,(9),"1,995",
-,-,,,,,"-,-,-,-",,,,
-,-,,,,,"-,-,-,-",,,,
Other financial assets measured at amortised cost,-,"683,231","61,768","26,581",611,"217,772,408,(175),772,233",,(175),"772,233",
-,-,"682,412","61,218","24,532",54,"217,768,216,(80),768,136",,(80),"768,136",
-,-,"819,550","2,049",557,"177,3","975,(44),3,931",,(44),"3,931",
-,-,,,,177,"-(42),135",177,(42),135,
-,-,,,,40,"-(9),31",40,(9),31,
Loan and other credit-related commitments,-,"400,911","157,339","90,784",9,"668,1,081,659,783,(734),659,049",,(734),"659,049",
-,-,"396,028","143,600","63,592",1,"265,1,081,604,485,(290),604,195",,(290),"604,195",
-,-,"4,883","13,739","27,192",8,"403,1,080,54,217,(365),53,852",,(365),"53,852",
-,-,,,,1,"-(78),1,002",1,(78),"1,002",
-,-,,,,1,"-(1),-",1,(1),-,
Financial guarantees,-,"6,356","5,194","5,317",1,"247,270,18,384,(125),18,259",,(125),"18,259",
-,-,"6,286","4,431","3,163",210,"18,090,(37),14,053",,(37),"14,053",
-,-,"70,763","2,154","1,037",4,"024,(62),3,962",,(62),"3,962",
-,-,,,,269,"-(26),243",269,(26),243,
-,-,,,,1,"-(1),-",1,(1),-,
At 31 Dec 2020,-,"1,668,047,463,117,382,834",,,,"49,772,20,940,2,584,710,(15,566),2,569,144",,"(15,566)","2,569,144",
Debt instruments at FVOCI,-,"367,542","12,585","10,066",,"390,193,(88),390,105",,(88),"390,105",
-,-,"143,93","343,825",,"1,404","-(20),1,384",,(20),"1,384",
-,-,,,,257,"-(23),234",257,(23),234,
-,-,,,,49,"-(10),39",49,(10),39,
At 31 Dec 2020,-,"367,685","12,678","10,409",825,"306,391,903,(141),391,762",,(141),"391,762",
