Matters considered during 2020,Jan,May,Jul,Sep,Dec
Remuneration framework and governance,"Group variable pay pool, workforce performance and pay matters, Gender Pay Gap report, and employee surveys","Group variable pay pool, workforce performance and pay matters, Gender Pay Gap report, and employee surveys","Group variable pay pool, workforce performance and pay matters, Gender Pay Gap report, and employee surveys","Group variable pay pool, workforce performance and pay matters, Gender Pay Gap report, and employee surveys","Group variable pay pool, workforce performance and pay matters, Gender Pay Gap report, and employee surveys"
Remuneration framework and governance,"Executive Director remuneration policy implementation, scorecards and pay proposals","Executive Director remuneration policy implementation, scorecards and pay proposals","Executive Director remuneration policy implementation, scorecards and pay proposals","Executive Director remuneration policy implementation, scorecards and pay proposals","Executive Director remuneration policy implementation, scorecards and pay proposals"
Remuneration framework and governance,Remuneration for other senior executives of the Group,Remuneration for other senior executives of the Group,,Remuneration for other senior executives of the Group,Remuneration for other senior executives of the Group
Remuneration framework and governance,Non-executive Director compensation,,,Non-executive Director compensation,Non-executive Director compensation
Remuneration framework and governance,Shareholder consultation and proxy adviser views,,,Shareholder consultation and proxy adviser views,Shareholder consultation and proxy adviser views
Remuneration framework and governance,Directors' remuneration report,Directors' remuneration report,,Directors' remuneration report,Directors' remuneration report
Regulatory, risk and audit,"Information on material risk and audit events, and performance and remuneration impacts for individuals involved","Information on material risk and audit events, and performance and remuneration impacts for individuals involved","Information on material risk and audit events, and performance and remuneration impacts for individuals involved","Information on material risk and audit events, and performance and remuneration impacts for individuals involved,Information on material risk and audit events, and performance and remuneration impacts for individuals involved"
Regulatory, risk and audit,"Regulatory updates and filings, including approach and outcomes for the identification of Material Risk Takers","Regulatory updates and filings, including approach and outcomes for the identification of Material Risk Takers","Regulatory updates and filings, including approach and outcomes for the identification of Material Risk Takers","Regulatory updates and filings, including approach and outcomes for the identification of Material Risk Takers,Regulatory updates and filings, including approach and outcomes for the identification of Material Risk Takers"
Regulatory, risk and audit,Corporate governance briefings,,,"Corporate governance briefings,Corporate governance briefings"
Principal subsidiaries,Matters from subsidiary committees,Matters from subsidiary committees,Matters from subsidiary committees,Matters from subsidiary committees,Matters from subsidiary committees
