Gross carrying amount,Of which: stage 3 and POCI,Allowance for ECL,Of which: stage 3 and POCI,Change in ECL,Write-offs,Recoveries
$m,$m,$m,$m,$m,$m,$m
First lien residential mortgages,"352,282","3,383",(755),(442),(259),"(92),35"
Other personal lending,"108,527","2,228","(3,976)","(1,060)","(2,363)","(1,315),245"
Personal lending,"460,809","5,611","(4,731)","(1,502)","(2,622)","(1,407),280"
,"agriculture, forestry and fishing",332,(207),(150),(28),"3,"
,mining and quarrying,813,(365),(220),(513),"(311),"
,manufacturing,"2,163","(1,588)",(945),(652),"(375),7"
,"electricity, gas, steam and air-conditioning supply",53,(73),(8),(7),"(14),"
,"water supply, sewerage, waste management and remediation",47,(37),(22),(8),","
,construction,777,(590),(430),(151),"(135),13"
,"wholesale and retail trade, repair of motor vehicles and motorcycles","3,208","(2,532)","(2,032)","(1,560)","(280),11"
,transportation and storage,780,(493),(240),(308),"(62),1"
,accommodation and food,537,(491),(130),(365),"(28),"
,"publishing, audiovisual and broadcasting",164,(189),(59),(94),"(2),"
,real estate,"1,908","(1,167)",(738),(424),"(47),4"
,"professional, scientific and technical activities",531,(398),(193),(219),"(36),1"
,administrative and support services,977,(534),(315),(298),"(61),"
,"public administration and defence, compulsory social security",3,(14),(1),(5),","
,education,29,(41),(9),(26),"(6),1"
,health and care,269,(186),(120),(127),"(2),1"
,"arts, entertainment and recreation",236,(158),(87),(170),"(2),"
,other services,410,(408),(249),(360),"(168),4"
,activities of households,802,(1),,,","
,extra-territorial organisations and bodies activities,10,,,1,",1"
,government,1,(9),(1),2,"(5),"
,asset-backed securities,611,(13),,1,","
,Corporate and commercial,"13,238","(9,494)","(5,949)","(5,311)","(1,537),44"
,Non-bank financial institutions,523,(265),(100),(146),"(30),2"
,Wholesale lending,"13,761","(9,759)","(6,049)","(5,457)","(1,567),46"
,Loans and advances to customers,"19,372","(14,490)","(7,551)","(8,079)","(2,974),326"
,Loans and advances to banks,"81,658",(42),,(23),","
At 31 Dec 2020,"19,372","(14,532)","(7,551)","(8,102)","(2,974)",326
