Provisions (excluding contractual commitments),Restructuring costs,Legal proceedings and regulatory matters,Customer remediation,Other provisions,Total
At 1 Jan 2020,356,605,1646,280,2887
Additions,698,347,189,222,1456
Amounts utilised,322,177,739,125,1363
Unused amounts reversed,74,75,240,80,469
Exchange and other movements,13,56,2,8,79
At 31 Dec 2020,671,756,858,305,2590
Contractual commitments1,,511,,,
At 1 Jan 2020,,511,,,
Net change in expected credit loss provision and other movements,,577,,,
At 31 Dec 2020,,1088,,,
Total provisions,,3398,,,
At 31 Dec 2019,,3398,,,
At 31 Dec 2020,,3678,,,
