2020,$m,2020,$m,2019,$m
Significant items,2,2,2,"9,607",
costs of structural reform^1,-,,,158,
customer redress programmes,(54),(54),(54),"1,281",
impairment of goodwill and other intangibles,"1,090","1,090","1,090","7,349",
past service costs of guaranteed minimum pension benefits equalisation,17,17,17,,
restructuring and other related costs^2,"1,908","1,908","1,908",827,(61)
settlements and provisions in connection with legal and regulatory matters,12,12,,-,
currency translation on significant items,53,53,,,
Currency translation,223,223,,"9,830",
Year ended 31 Dec,"2,973","2,973","2,973","9,830",
