,Non-credit impaired,Non-credit impaired,Non-credit impaired,Non-credit impaired,Credit impaired,Credit impaired,Total,Total
,Stage1 Gross,Stage1 Gross,Stage 2,Stage 2,Stage 3,Stage 3,Total,Total
,carrying/ nominal Allowance,carrying/,Gross nominal,Allowance,Gross carrying/ nominal,Allowance,Gross carrying/ nominal,Allowance
At1Jan 2019,"$m 580,784",$m (547),"$m 16,838","$m (1,266)","$m 4,993","$m (1,148)","$m 602,615","$m (2,961)"
Transfers of financial instruments,"(4,751)",(374),"2,645",858,"2,106",(484),一,1
Net remeasurement of ECL arising from transfer of,,,,,,,,
stage,1,446,1,(408),1,(76),,(38)
Net new and further lending/repayments,"50,946",3,"(2,348)",453,(758),281,"47,840",737
Change in risk parameters-credit quality,二,(100),二,"(1,015)",1,"(1,190)",1,"(2,305)"
Changes to models used for ECL calculation Assets written off,二 1,(6),二,60,1,14,1,68
,"8,982",二,二 247,二,"(1,345)","1,345","(1,345)","1,345"
Foreign exchange and other,,(19),,(20),50,43,"9,279",4
At31 Dec 2019,"635,961",(597),"17,382","(1,338) （910)","5,046","(1,215)","658,389","(3,150)"
ECLincome statement change for the period,,343,,,,（971),,"(1,538)"
Recoveries,,,,,,,,314
Other,,,,,,,,"4 (1,220)"
