ECB,European Central Bank
ECL,"Expected credit losses. In the income statement, ECL is recorded as a change in expected credit losses and other credit impairment charges. In the balance sheet, ECL is recorded as an allowance for financial instruments to which only the impairment requirements in IFRS 9 are applied"
EEA,European Economic Area
Eonia,Euro Overnight Index Average
EPS,Earnings per ordinary share
ESG,"Environmental, social and governance"
€STR,Euro short-term rate
EU,European Union
Euribor,Euro interbank offered rate
EVE,Economic value of equity
F,"FAST-Infra,Finance to Accelerate the Sustainable Transition-Infrastructure"
FCA,Financial Conduct Authority (UK)
FFVA,Funding fair value adjustment estimation methodology on derivative contracts
FPA,Fixed pay allowance
FRB,Federal Reserve Board (US)
FRC,Financial Reporting Council
FSB,Financial Stability Board
FSCS,Financial Services Compensation Scheme
FTE,Full-time equivalent staff
FTSE,Financial Times Stock Exchange index
FVOCI,Fair value through other comprehensive income
FVPL,Fair value through profit or loss
FX DPA,"Three-year deferred prosecution agreement with the US Department of Justice, entered into in January 2018"
G,"GAAP,Generally accepted accounting principles"
GAC,Group Audit Committee
GBM,"Global Banking and Markets, a global business"
GDP,Gross domestic product
GDPR,General Data Protection Regulation
GEC,Group Executive Committee
GLCM,Global Liquidity and Cash Management
Global Markets,HSBC’s capital markets services in Global Banking and Markets
GMP,Guaranteed minimum pension
GPSP,Group Performance Share Plan
GRC,Group Risk Committee
Group,HSBC Holdings together with its subsidiary undertakings
GTRF,Global Trade and Receivables Finance
H,"Hang Seng Bank,Hang Seng Bank Limited, one of Hong Kong’s largest banks"
HKEx,The Stock Exchange of Hong Kong Limited
HKMA,Hong Kong Monetary Authority
HMRC,HM Revenue and Customs
HNAH,HSBC North America Holdings Inc.
Holdings ALCO,HSBC Holdings Asset and Liability Management Committee
Hong Kong,Hong Kong Special Administrative Region of the People’s Republic of China
HQLA,High-quality liquid assets
HSBC,HSBC Holdings together with its subsidiary undertakings
HSBC Bank,"HSBC Bank plc, also known as the non-ring-fenced bank"
HSBC Bank Middle East,HSBC Bank Middle East Limited
HSBC Bank USA,"HSBC Bank USA, N.A., HSBC’s retail bank in the US"
HSBC Canada,"The sub-group, HSBC Bank Canada, HSBC Trust Company Canada, HSBC Mortgage Corporation Canada and HSBC Securities Canada, consolidated for liquidity purposes"
HSBC Continental Europe,HSBC Continental Europe
HSBC Finance,"HSBC Finance Corporation, the US consumer finance company (formerly Household International, Inc.)"
HSBC Holdings,"HSBC Holdings plc, the parent company of HSBC"
