Footnotes,Due not more than 1 month,Due over 1 month but not more than 3 months,Due over 3 months but not more than 1 year,Due over 1 year but not more than 5 years,Due over 5 years,Total
Amounts owed to HSBC undertakings,,330,,,,330
Financial liabilities designated at fair value,70,"1,109","1,412","9,110","16,104","27,805"
Derivatives,"3,085",,2,,,"3,087"
Debt securities in issue,135,760,"3,354","31,567","37,103","72,919"
Subordinated liabilities,82,156,726,"7,513","21,552","30,029"
Other financial liabilities,"3,769",690,370,,36,"4,865"
Loan commitments,,,,,,
Financial guarantees,1,"13,787",,,,"13,787"
At 31 Dec 2020,"20,928","3,045","5,864","48,190","74,795","152,822"
Amounts owed to HSBC undertakings,,464,,,,464
Financial liabilities designated at fair value,88,168,784,"14,776","18,184","34,000"
Derivatives,"1,838",,,105,78,"2,021"
Debt securities in issue,128,244,"1,137","38,690","25,310","65,509"
Subordinated liabilities,"1,588",154,718,"5,743","21,533","29,736"
Other financial liabilities,956,519,365,,,"1,840"
Loan commitments,,,,,,
Financial guarantees,1,"11,061",,,,"11,061"
At 7 Dec 2019,"15,659","1,549","3,004","59,314","65,105","144,631"
