Hedged item,,,,,,Ineffectiveness,Ineffectiveness,Ineffectiveness
Carrying amount,,,,,,,Recognised in,Profit and loss
Assets $m Liabilities $m,Assets,Liabilities,Assets,carrying amount2 Liabilities,,Change in fair value1 profit and loss,Recognised in,Profit and loss
Accumulated fair value hedge adjustments included in Carrying amount,,,,,,,,
Balance sheet presentation Financial assets designated and measured at fair value through other comprehensive income,,,,,,,,
Net income from financial instruments held for trading or managed on a fair value basis,"90,617",,"1,859",,,"2,304",,(7)
Interest rate3,,,,,,,,
Loans and advances to banks,153,,,,,,,
Loans and advances to customers,5,,"1,897",,,12,,
Debt securities in issue,24,,"15,206",,,797,,
Deposits by banks,"(1,011)",,"3,009",,,39,,
"At 31 Dec,,2019","92,667",,"18,215",,,"1,875",836,"1,524"
,,,,,,(7),,
