Footnotes,2020$m,2019$m
Loans and advances to customers,"1,037,987","1,036,743"
Loans and advances to banks,"81,616","69,203"
Reverse repurchase agreements - non-trading,"230,628","240,862"
"Prepayments,accrued income and otherassets 1","76,859","63,891"
"- cash collateral,margin and settlementaccounts","76,859","63,891"
Assets held for sale,299,123
Trading assets,"231,990","254,271"
-reverse repos,"13,9908,286","13,6597,691232,921"
- stock borrowing,"13,9908,286","13,6597,691232,921"
- other trading assets,"209,714","13,6597,691232,921"
Financial investments,"490,693","443,312"
Cash and balances with central banks,"304,481","154,099"
Other balance sheet assets,"529,611","452,648"
At 31 Dec,"2,984,164 2,715,152","2,984,164 2,715,152"
