,Nominal amount,Nominal amount,Nominal amount,Nominal amount,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL
,Stage 1,Stage 2,Stage 3,POCI,Total,Stage 1,Stage 2,Stage 3,POCI,Total
,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m
Corporate and commercial,"262,598","49,008","1,140",2,"312,748",(271),(392),(100),(1),(764)
Financial,"120,768","7,526",55,二,"128,349",(17),(33),(4),二,(54)
At31Dec2020,"383,366","56,534","1,195",2,"441,097",(288),(425),(104),(1),(818)
Bygeography,,,,,,,,,,
Europe,"210,141","28,705",851,2,"239,699",(152),(208),(83),(1),(444)
-of which: UK,"81,153","17,048",480,1,"98,682",(138),(176),(72),(1),(387)
Asia,"63,586","6,311",20,二,"69,917",(73),(43),(6),二,(122)
- of which: Hong Kong,"26,502","3,639",4,1,"30,145",(24),(22),(1),二,(47)
MENA,"4,975","1,609",85,二,"6,669",(14),(44),(2),1,(60)
North America,"102,399","19,360",198,二,"121,957",(39),(124),(7),二,(170)
Latin America,"2,265",549,41,二,"2,855",(10),(6),(6),二,(22)
At31Dec 2020,"383,366","56,534","1,195",2,"441,097",(288),(425),(104),(1),(818)
