Transfers of financial instruments,"(31,493)",(169),"28,418",276,"3,075",-,-,-,-
Non-credit impaired,,,,,,Stage 1,Stage 2,Stage 3,POCI
Gross carrying/ nominal amount,$m,$m,$m,$m,$m,,,,
Allowance for ECL,$m,$m,$m,$m,$m,,,,
At 1 Jan 2019,"922,192",(902),"78,266","(1,012)","9,239",334,(194),"1,010,031","(6,095)"
Transfers of financial instruments,-,-,-,-,-,-,-,-,-
Net remeasurement of ECL arising from transfer of stage,-,-,-,-,-,223,,,
Net new and further lending/repayments,"27,918",(134),"(20,121)",167,"(1,552)",369,137,-,"6,382"
Changes to risk parameters – credit quality,-,102,,,,,-193,,
Changes to models used for ECL calculation,-,,,,,,(56),,
Assets written off,-,,,,,,,,
Credit-related modifications that resulted in derecognition,-,,,,,,,,
