Repo^1,Sale and repurchase transaction
Reverse repo,Security purchased under commitments to sell
RFB,Ring-fenced bank
RFR,Risk-free rate
RMBS,Residential mortgage backed security
RMM,Group Risk Management Meeting
RNIV,Risk not in VaR
RoE,Return on average ordinary shareholders' equity
RoTE,Return on average tangible equity
RWA^1,Risk-weighted asset
S,"SABB,The Saudi British Bank"
SAPS,Self-administered pension scheme
SDG,United Nation's Sustainable Development Goals
SE^1,Structured entity
SEC,Securities and Exchange Commission (US)
ServCo group,Separately incorporated group of service companies planned in response to UK ring-fencing proposals
Sibor,Singapore interbank offered rate
SIC,Securities investment conduit
SID,Senior Independent Director
SME,Small and medium-sized enterprise
SOFR,Secured Overnight Financing Rate
Solitaire,"Solitaire Funding Limited, a special purpose entity managed by HSBC"
Sonia,Sterling Overnight Index Average
SPE^1,Special purpose entity
T,Tier 1
T2,Tier 2
TCFD^1,Task Force on Climate-related Financial Disclosures
TLAC^1,Total loss-absorbing capacity
TRLibor,Turkish Lira interbank offered rate
TSR^1,Total shareholder return
U,United Arab Emirates
UK,United Kingdom
UN,United Nations
US,United States of America
V,Value at risk
VIU,Value in use
W,"Wealth and Personal Banking, a global business"
