,Non-credit impaired,Non-credit impaired,Non-credit impaired,Non-credit impaired,Credit impaired,Credit impaired,Credit impaired,Credit impaired,,,,
,Stage 1 Allowance/,Stage 1 Allowance/,Stage 2,Stage 2,Stage 3,Stage 3,POCI,POCI,,,Total,Total
,Gross provision exposure,Gross provision exposure,Gross,Allowance/ provision for ECL,Allowance/ provision for ECL,Allowance/ Gross provision for,Allowance/ Gross provision for,Allowance/ Gross provision,Allowance/ Gross provision,Allowance/ Gross provision for,Allowance/ Gross provision for,
,$m,for ECL $m,exposure $m,$m,exposure,$m,ECL $m,exposure $m,for ECL $m,exposure $m,ECL $m,
At 1 Jan 2019,"1,502,976","(1,449)","95,104","(2,278)",,"14,232","(5,135)",334,(194),"1,612,646","(9,056)",
Transfers of financial instruments:,"(36,244)",(543),"31,063","1,134","5,181",,(591),1,1,1,1,
- transfers from stage 1 to stage 2,"(108,434)",487,"108,434",(487),,,1,一,,,一,
transfers from stage 2 to stage 1,"73,086","(1,044)","(73,086)","1,044",,,,,,,,
-transfers to stage 3,"(1,284)",59,"(5,022)",665,"6,306",,(724),,,,,
-transfers from stage 3 Net remeasurement of ECL arising,388,(45),737,(88),"(1,125)",,133,一,,,1,
from transfer of stage,,669,一,(676),,,(114),,,,(121),
New financial assets originated or purchased,"504,064",(534),,,,,,135,(21),"504,199",(555),
Assets derecognised (including final repayments),"(352,961)",112,"(19,909)",553,"(2,712)",,656,(26),8,"(375,608)","1,329",
Changes to risk parameters - further lending/repayment,"(72,239)",291,"(2,560)",67,,402,(6),28,12,"(74,369)",364,
Changes to risk parameters-credit quality,1,2,1,"(1,208)",,1,"(2,704)",1,(51),1,"(3,961)",
Changes to models used for ECL calculation,,(6),1,,,1,,,,,,
Assets written off,,,,4,"(2,657)",,"14 2,657",1 (140),1 140,"一 (2,797)","12 2,797",
Credit-related modifications that resulted in derecognition,,1,1,,,,,,,,,
Foreign exchange,1,,"1,201",,1 (40),(268) 160,125,1 1,1,(268),125,
Others,"16,838 (821)",（9) 3,652,,3,(3),(31) 8,13,1 6,"18,200 (159)",（79) 20,
At31Dec 2019,"1,561,613","(1,464)","105,551","(2,441)","14,335",,"(5,121)",345,(99),"1,681,844","（9,125)",
ECLincome statement change for,,,,,,,,,,,,
the period,,534,,"(1,260)",,,"(2,154)",,(52),,"(2,932)",
Recoveries,,,,,,,,,,,361,
Others,,,,,,,,,,,(20),
Total ECL income statement change for the period,,,,,,,,,,,"(2,591)",
