Year ended 31 Dec,,,2020,2019,2018
Footnotes,$m,$m,"$m,$m","$m,$m","$m,$m"
Adjusted profit before tax,12149,22149,"22149,21199","22149,21199","22149,21199"
Significant items,(3372),"(8924),(1828)",,,
customer redress programmes (revenue),-21,-163,53,,
"disposals, acquisitions and investment in new businesses (revenue)",-10,768,(113),,
fair value movements on financial instruments,264,84,(100),,
costs of structural reform,-,"(158),(-361)",,,
customer redress programmes (operating expenses),54,-1281,-146,,
"disposals, acquisitions and investment in new businesses (operating expenses)",-,-,-52,,
impairment of goodwill and other intangible assets,-1090,-7349,-,,
past service costs of guaranteed minimum pension benefits equalisation,-17,-,-,(228),
restructuring and other related costs (operating expenses),-1908,-827,-66,,
settlements and provisions in connection with legal and other regulatory matters,-12,61,-816,,
impairment of goodwill (share of profit in associates and joint ventures),-,(462),-,,
currency translation on significant items,-,(59),,,1
Currency translation,122,519,"122,519","122,519","122,519"
Reported profit before tax,8777,13347,19890,19890,19890
