Reconciliation of reported and adjusted items (continued),2018,2018,2018,2018,2018,2018
Reconciliation of reported and adjusted items (continued),,,,,,
Reconciliation of reported and adjusted items (continued),Hong Mainland,Hong Mainland,Hong Mainland,Hong Mainland,Hong Mainland,
Footnotes,UK $m,Kong $m,China $m,US $m,Mexico $m,
Revenue,,,,,,
Reported,"13,597","18,231",2.888,"4,741","2,294",
Currency translation Significant items,(616),191,(120),二,(232),
- customer redress programmes,115,5,(1),97,四,
"- disposals,acquisitions and investment in new businesses",(53） 1,1 /,1 1,1 103,1,
-fair value movements on financial instruments,,,(1),(6,1,
-currency translation on significant items,162,,,二,（7 二,
,6,二,,,"2,055",
Adjusted ECL,"13,096","18,427","2,767","4,838",,
Reported,,,,,,
,(516) 4,(214),(143),199,(463),
Currency translation,,（3）,1,二,45,
Adjusted Operating expenses,(512),(217),(142),199,（418),
Reported,,,,,,
,"(14,502)","(6,539)","(1,920)","(4,987)","(1,303)",
Currency translation,425,(69),76,二,131,
Significant items - costs of structural reform,519,16,二,919,1,
- customer redress programmes,294,9,,1,一,
：past service costs of guaranteed minimum pension benefits equalisation,146,/,,1,,
restructuring and other related costs,228,,,1,,
-settlements and provisions in connection with legal and regulatory matters,39,7,,11,,
- currency translation on significant items,(176),一,,908,,
Adjusted,(12),,,一,1,
Share of profit in associates and joint ventures,"(13,558)","(6,592)","(1,844)","(4,068)","(1,172)",
Reported,,,,,,
Currency translation,25,36,2.033,二,二,
Adjusted,(1,1,（90),1,二,
Profit/(loss) before tax,24,36,"1,943",二,二,
Reported,"(1,396)","11,514",,,,
Currency translation,(188),,"2,858",（47),528,
Significant items,634,119,(133),二,(56),
revenue 1,115,21,(1),"1,016",四,
- operating expenses,519,5 16,1,97,7,
Adjusted,,,二,919,-,
Loans and advances to customers (net),（950),"11,654","2,724",969,465,
Reported,"287,144",,,,,
Currency translation,,"290,547","38,979","64,011 二","17,895",
Adjusted,"19,928","2,945","2,068",,(180),
,"307,072","293,492","41,047","64,011","17,715",
Customer accounts,,,,,,
Reported Currency translation,"399,487 27,720","484,897","45,712","82,523","19,936",
Adjusted,"427,207","4,915 489,812","2,426",,(195),
,,,"48,138","82,523","19,741",
