,Gross carrying amount Allowance for ECL,Gross carrying amount Allowance for ECL,Gross carrying amount Allowance for ECL,Gross carrying amount Allowance for ECL,Gross carrying amount Allowance for ECL,Gross carrying amount Allowance for ECL,Gross carrying amount Allowance for ECL,Gross carrying amount Allowance for ECL,Gross carrying amount Allowance for ECL,Gross carrying amount Allowance for ECL
,First lien Of which: First lien Of which:residential Other credit residential Other credit,First lien Of which: First lien Of which:residential Other credit residential Other credit,First lien Of which: First lien Of which:residential Other credit residential Other credit,First lien Of which: First lien Of which:residential Other credit residential Other credit,First lien Of which: First lien Of which:residential Other credit residential Other credit,First lien Of which: First lien Of which:residential Other credit residential Other credit,First lien Of which: First lien Of which:residential Other credit residential Other credit,First lien Of which: First lien Of which:residential Other credit residential Other credit,First lien Of which: First lien Of which:residential Other credit residential Other credit,First lien Of which: First lien Of which:residential Other credit residential Other credit
,mortgages personal cards Total mortgages,mortgages personal cards Total mortgages,mortgages personal cards Total mortgages,mortgages personal cards Total mortgages,mortgages personal cards Total mortgages,mortgages personal cards Total mortgages,mortgages personal cards Total mortgages,personal cards Total,personal cards Total,personal cards Total
,$m,$m,$m,$m $m $m $m,$m $m $m $m,$m $m $m $m,$m $m $m $m,$m $m $m,$m $m $m,$m $m $m
Europe,"162,630","162,630","162,630","51,033","8,471 213,663 (364)","8,471 213,663 (364)","8,471 213,663 (364)","(1,980)",(859),"(2,344)"
1UK,"154,839","154,839","154,839","19,696","8,064","174,535",(236),"(1,762)",(852),"(1,998)"
-France1,"3,623","3,623","3,623","23,982",358,"27,605",(43),(120),(5),(163)
-Germany,1,1,1,368,1,368,1,1,1,1
Switzerland,"1,195","1,195","1,195","6,641",1,"7,836",1,(79),1,(79)
-other,"2,973","2,973","2,973",346,49,"3,319",(85),(19),(2),(104)
Asia,"141,581","141,581","141,581","45,732","11,186","187,313",(80),(841),(563),(921)
-Hong Kong,"91,997","91,997","91,997","31,594","7,573","123,591",1,(387),(265),(387)
-Australia,"20,320","20,320","20,320",602,514,"20,922",(12),(47),(45),(59)
- India,933,933,933,544,215,"1,477",(9),(45),(34),(54)
- Indonesia,71,71,71,288,167,359,1,(37),(26),(37)
mainland China,,,"9,679","1,155",644,"10,834",(6),(81),(73),(87)
Malaysia,,"2,797","2,797","2,964",841,"5,761",(41),(102),(35),(143)
-Singapore,"7,394","7,394","7,394","6,537",375,"13,931",1,(55),(17),(55)
1Taiwan,"5,407","5,407","5,407","1,069",277,"6,476",1,(15),(5),(15)
-other,"2,983","2,983","2,983",979,580,"3,962",(12),(72),(63),(84)
Middle East and North Africa (excluding Saudi Arabia),"2,192","2,192","2,192","3,341",863,"5,533",(43),(275),(142),(318)
-Egypt,1,1,1,360,89,360,1,(8),（3),(8)
- UAE,"1,841","1,841","1,841","1,158",432,"2,999",(37),(163),(92),(200)
-other,351,351,351,"1,823",342,"2,174",(6),(104),(47),(110)
North America,"41,826","41,826","41,826","4,552","1,373","46,378",(159),(266),(193),(425)
-US,"18,430","18,430","18,430","2,141","1,091","20,571",(26),(226),(182),(252)
-Canada,"22,241","22,241","22,241","2,230",244,"24,471",(36),(31),(10),(67)
-other,"1,155","1,155","1,155",181,38,"1,336",(97),(9),(1),(106)
Latin America,"4,053","4,053","4,053","3,869","1,406","7,922",(109),(614),(290),(723)
-Mexico,"3,901","3,901","3,901","3,351","1,119","7,252",(107),(578),(268),(685)
-other,152,152,152,518,287,670,(2),(36),(22),(38)
At31Dec 2020,"352,282 108,527","352,282 108,527","352,282 108,527","352,282 108,527","23,299 460,809 (755) (3,976) (2,047) (4,731)","23,299 460,809 (755) (3,976) (2,047) (4,731)","23,299 460,809 (755) (3,976) (2,047) (4,731)","23,299 460,809 (755) (3,976) (2,047) (4,731)","23,299 460,809 (755) (3,976) (2,047) (4,731)","23,299 460,809 (755) (3,976) (2,047) (4,731)"
