Minimum (25% payout),Maximum (100% payout),Performance,Weighting (%),Assessment (%),Outcome (%),Weighting (%),Assessment (%),Outcome (%)
Grow profit before tax ($bn),19.91,23.38,14.77,30.0,-,-,20.0,"-, -"
RWA optimisation ($bn),35.00,44.90,51.50,20.0,100.0,20.00,20.0,"100.0, 20.00"
Cost savings ($bn),1.00,1.60,1.04,-,-,-,10.0,"30.0, 3.00"
Customer satisfaction,,See following section for non-,10.0,80.0,8.00,10.0,80.0,"8.00, 8.00"
Employee experience,,See following section for non-,-,95.0,9.50,10.0,95.0,"9.50, 9.50"
Environment,,See following section for non-,-,85.0,8.50,10.0,85.0,"8.50, 8.50"
Risk and compliance,,See following section for non-,-,85.0,8.50,10.0,85.0,"8.50, 8.50"
Personal objectives,,See following section for non-,-,100.0,10.00,10.0,62.5,"6.25, 6.25"
Total,,See following section for non-,100.0,,64.50,100.0,,"63.75, -"
Maximum annual incentive opportunity (£000),,,,,,,"£2,478",",f1,412"
Annual incentive pre-cash waiver (£000),,,,,,,"£1,598",
Annual incentive post-cash waiver (£000),,,,,,,£799,£450
