,,Page,,,Page
1,Basis of preparation and significant accounting policies,288,21,Goodwill and intangible assets,338
2,Net fee income,299,22,"Prepayments,accrued income and other assets",341
3,Net income/(expense) from financial instruments measured at fair,,23,Trading liabilities,341
,value through profit or loss,300,24,Financial liabilities designatedatfair value,341
4,Insurance business,300,25,Debt securities in issue,342
5 6,Employee compensation and benefits,301,26,"Accruals,deferred income and other liabilities",342
7,Auditors'remuneration,307,27,Provisions,343
,Tax,307,28,Subordinated liabilities,344
8,Dividends,309,29,"Maturity analysis ofassets,liabitiesandoff-balance sheet",
9,Earnings per share,310,,commitments,347
10 11,Segmental analysis,311,30,Offseting of financial assetsand financial liabilities,352
12,Trading assets,313,31,Called up share capital and other equity instruments,353
13,Fair values of financial instruments carried at fair value,314,32,"Contingent liabilities,contractual commitments and guarantees",355
14,Fair values of financial instruments not carried at fair value,321,33,Finance lease receivables,356
,Financial assets designated and otherwise mandatorily measured at fair value through profit or loss,322,34 35,Legal proceedings and regulatory matters,356
15,Derivatives,323,36,Related party transactions,360
16,Financial investments,328,37,Events after the balance sheet date,362
17,"Assetspledged,collateral receivedandassets transferred",330,,"HSBC Holdings'subsidiaries,joint ventures and associates",362
18,Interests inassociates and joint ventures,,,,
19,,331 335,,,
20,Investments in subsidiaries,336,,,
,Structured entities,,,,
