Footnotes,2019 UK $m,2019 Hong Kong $m,2019 Mainland China $m,2019 US $m,2019 Mexico $m
Revenue,1,13,538,19,"412,3,101,4,638,2,555"
Reported,,,,,
Currency translation,,65,192,--,"--,256"
Significant items,,29,26,1,"66,7"
customer redress programmes,,162,--,--,"--,--"
disposals, acquisitions and investment in new businesses,,--,--,"59,--"
fair value movements on financial instruments,2,26,1,7,"8,2"
currency translation on significant items,,6,--,--,"--,1"
Adjusted,13,632,19,630,"3,102,4,704,2,306"
ECL,,,,,
Reported,714,459,129,170,491
Currency translation,2,4,--,--,49
Adjusted,716,463,129,170,442
Operating expenses,,,,,
Reported,16,157,6,935,"2,111,4,033,1,390"
Currency translation,63,66,5,--,141
Significant items,1,805,65,6,"93,18"
costs of structural reform,3,101,4,--,"--,--"
customer redress programmes,1,281,--,--,"--,--"
restructuring and other related costs,405,61,6,93,"20,--"
settlements and provisions in connection with legal and regulatory matters,8,1,--,--,--
currency translation on significant items,10,1,--,--,"--,2"
Adjusted,14,415,6,936,"2,110,3,940,1,231"
Share of profit/(loss) in associates and joint ventures,,,,,
Reported,12,31,2,016,"--,13"
Currency translation,--,1,1,--,2
Adjusted,12,32,2,017,"--,11"
Profit/(loss) before tax,,,,,
Reported,3,345,12,049,"2,877,435,687"
Currency translation,--,123,4,--,68
Significant items,1,834,91,7,"159,25"
revenue,29,26,1,66,"7,--"
operating expenses,1,805,65,6,"93,18,--"
Adjusted,1,511,12,263,"2,880,594,644"
Loans and advances to customers (net),,,,,
Reported,303,041,306,964,"42,380,63,588,20,426"
Currency translation,9,925,1,403,"2,802,--,1,033"
Adjusted,312,966,308,367,"45,182,63,588,19,393"
Customer accounts,,,,,
Reported,419,642,499,955,"48,323,90,834,23,051"
Currency translation,13,744,2,286,"3,194,--,1,166"
Adjusted,433,386,502,241,"51,517,90,834,21,885"
