2018,Europe,Asia,MENA,North America,Latin America,Total
Revenue,Footnotes,$m,$m,$m,$m,"$m,$m"
Reported,2,17704,28784,2687,6725,"3062,53780"
Currency translation,2,-760,-263,-37,-57,"-803,-1854"
Significant items,105,-35,-1,97,6,172
--- customer redress programmes,53,0,0,0,0,-53
"--- disposals, acquisitions and investment in new businesses",5,0,0,103,15,113
--- fair value movements on financial investments,156,-38,-1,-8,-9,100
--- currency translation on significant items,7,3,0,2,0,12
Adjusted,2,17049,28486,2649,6765,"2265,52098"
ECL,Reported,609,602,209,223,"570,1767"
Currency translation,5,6,17,-2,121,147
Adjusted,604,596,192,221,449,1620
Operating expenses,Reported,17934,12466,1357,6149,"1935,34659"
Currency translation,530,185,47,33,551,1280
Significant items,664,16,0,976,0,1656
--- costs of structural reform,352,9,0,0,0,361
--- customer redress programmes,146,0,0,0,0,146
"--- disposals, acquisitions and investment in new businesses",52,0,0,0,0,52
--- past service costs of guaranteed minimum pension benefits equalisation,228,0,0,0,0,228
--- restructuring and other related costs,46,7,0,13,0,66
--- settlements and provisions in connection with legal and regulatory matters,147,0,0,963,0,816
--- currency translation on significant items,13,0,0,0,0,-13
Adjusted,16740,12265,1310,5140,1384,31723
Share of profit in associates and joint ventures,Reported,24,2074,436,0,"2,2536"
Currency translation,-1,-90,0,0,-1,-92
Adjusted,23,1984,436,0,1,2444
Profit/(loss) before tax,Reported,-815,17790,1557,799,"559,19890"
Currency translation,-226,-162,27,-26,-132,-519
Significant items,769,-19,-1,1073,6,1828
--- revenue,105,-35,-1,97,6,172
--- operating expenses,664,16,0,976,0,1656
Adjusted,-272,17609,1583,1846,433,21199
Loans and advances to customers (net),Reported,373073,450545,28824,108146,"21108,981696"
Currency translation,26141,10289,-521,2957,-1558,37308
Adjusted,399214,460834,28303,111103,19550,1019004
Customer accounts,Reported,503154,664824,35408,133291,"25966,1362643"
Currency translation,34940,12491,-632,3094,-2814,47079
Adjusted,538094,677315,34776,136385,23152,1409722
