Total asset values of the entities ($m),0-500,"500-2,000","2,000-5,000","5,000-25,000","25,000+",Number of entities at 31 Dec 2019
91,236,670,70,1067,,
12,70,642,7,731,,
28,345,373,,,,
14,260,274,,,,
3,39,44,,,,
103,351,1956,79,2489,,
Total assets in relation to HSBC’s interests in the unconsolidated structured entities,5.3,9.1,15.1,4.2,33.7,
trading assets,0.2,3.5,1.3,5,,
financial assets designated and otherwise mandatorily measured at fair value,8.4,10.7,19.1,,,
loans and advances to customers,5.3,0.4,2.3,8,,
financial investments,0.5,0.5,1,,,
other assets,0.6,0.6,,,,
Total liabilities in relation to HSBC’s interests in the unconsolidated structured entities,0.3,0.3,0.3,0.3,,
other liabilities,0.3,0.3,,,,
Other off-balance sheet commitments,0.3,0.3,3.9,0.7,5.2,
HSBC’s maximum exposure at 31 Dec 2019,5.6,9.4,19.0,4.6,38.6,
