Provision,Approach
Clarity Remuneration arrangements should be transparent and promote effective engagement with shareholders and the,The Commitee regularly engages and consults with key shareholders to take into account shareholder feedback and to ensure there is transparency on our policy and its implementation.
workforce. Simplicity,Our employees were informed about the Directors' remuneration policy approved by our shareholders at our 2019 AGM. Details of our remuneration practices and our remuneration policy for Directors are published and available to all our employees. Our Directors'remuneration policy has been designed to achieve simplicity while complying with the provisions set out in the UK Corporate Governance Code and the
Remuneration structures should avoid complexity and their rationale and operation should be easy to understand.,"remuneration rules of the UK's Prudential Regulation Authority and Financial Conduct Authority,as well as meeting the expectations of our shareholders.The objective of each remuneration element is explained and the amount paid in respect of each element of pay is clearly set out. ·In line with regulatory requirements, our remuneration practices promote sound and"
"Risk Remuneration structures should identify and mitigate against reputational and other risks from excessive rewards,as well as behavioural risks that can arise from target-based incentive plans.","effective risk management while supporting our business objectives (see page 252). Risk and conduct considerations are taken into account in seting the variable pay pool, from whichany executive Directorvariable payis funded. Executive Directors' annual and LTl scorecards include a mix of financial and non-financial measures. Financial measures in the scorecards are subject to a CET1 underpin to ensure CET1 remains within risk tolerance levels while achieving financial targets. In addition, the overall scorecard outcome is subject to a risk and compliance underpin."
Predictability,The deferred portion of any awards granted to executive Directors is subject to a seven- year deferral period during which our malus policy can be applied. All variable pay awards that have vested are subject to our clawback policy for a period of up to seven years from the award date (extending to 10 years where an investigation is ongoing). · The charts set out on page 7 of our Directors' remuneration policy show how the total
The range of possible values of rewards to individual Directors and any other limits or discretions should be identified and explained at the time of approving the policy.,value of remuneration and its composition vary under different performance scenarios for executive Directors.The Directors' remuneration policy can be found at www.hsbc.com/ our-approach/corporate-governance/remuneration.
"Proportionality The link between individual awards, the delivery of strategy and the long-term performance of the Group should be",The annual incentive scorecard rewards achievement of our annual operating targets and the LTl scorecard rewards achievement of long-term financial and shareholder value creation targets.
clearand outcomes should not reward poor performance.,"The Committee retains the discretion to reduce (to zero if appropriate) the annual incentive and LTl payout based on the outcome of the relevant scorecards, if it considers that the payout determined does not appropriately reflect the overallposition and performance of the Group during the performance period."
Alignment with culture,"·In order for any annual incentive award to be made,each executive Director must achieve"
"Incentive schemes should drive behaviours consistent with the Group's purpose, values and strategy.","a required behaviour rating,which is assessed by reference to the HSBC Values. Annual incentive and LTl scorecards contain non-financial measures linked to our wider social obligations.This includes measures related to reducing the environmental impact of our operations,improving customer satisfaction, diversity and employee engagement."
