,Retail1,Wholesale1
Total Group ECL 2020,$bn,$bn
Reported ECL,4.5,4.5
Scenarios,,
100% consensus Central scenario,(0.3),(0.9)
100% consensus Downside scenario,0.3,1.0
100% additional Downside scenario,1.3,5.9
Total Group ECL 2019,Retail1,Wholesale
Total Group ECL 2019,$bn,$bn
Reported ECL 2.9,Reported ECL 2.9,2.0
Scenarios (0.2),Scenarios (0.2),
100% consensus Central scenario,100% consensus Central scenario,(0.3)
100% consensus Downside scenario,100% consensus Downside scenario,二
100% alternative Downside scenario,100% alternative Downside scenario,0.1 n/a n/a
