,Other reserves,Other reserves,Other reserves,Other reserves,Other reserves,Other reserves,Other reserves,Other reserves,,,,,
,Called up share capital and,Other equity,Financial assets at,Cash flow,Foreign,Merger,Total share- holders',Non- controlling,Total,,,,
,share premium,instru- ments $m,"Retained earnings3,4 $m",FVOCI reserve $m,hedging reserve $m,exchange reserve $m,"and other reserves4,5 $m",equity $m,interests equity $m $m,,,,
,At 1 Jan 2020,"$m 24,278 20,871",,"136,679",(108),"(2) (25,133)","27,370 183,955",,"8,713 192,668",,,,
Profit for the year,1 1,1 1,"5,229 1,118","1,913","459 4,758",1,"一 5,229 8,248 一",870 161,"6,099 8,409",,,,
Other comprehensive income (net of tax) ：debt instruments at fair value through,,,,"1,746",,,"1,746",,,,,,
other comprehensive income equity instruments designated at fair value through other comprehensive income,,,,"1,746",,,"1,746",167,"4 1,750 45 212",,,,
cash flow hedges changes in fair value offinancial liabilities,,,,"1,746",,,"1,746",167 459,459,12 471,,,
designated at fair value upon initial recognition arising from changes in own credit risk,,,,"1,746",,,"1,746",167,,,,,
remeasurement of defined benefit asset/,一,,831,,,,831,167,一 167,,,,
liability - share of other comprehensive income of,一,,831,,,,,3,834,,,,
associates and joint ventures -effects of hyperinflation,一,,831,(73) 193,一,,,(73) 193,(73) 一 193,,,,
-exchange differences,一,,831,,一,,"4,758","4,758","97 4,855",,,,
Total comprehensive income for the year,1,1,"6,347","1,913",459,"4,758",一,"13,477","1,031","14,508",,,
Shares issued under employee remuneration and share plans,346,1,(339),1,1,1,一,7,,7,,,
Capital securities issued1,二,"1,500 1","(3) (1,331)",1,1,1,二,"1,497",1,"1,497",,,
Dividends to shareholders,1 1,,"(1,450)",1,1,二,,"(1,331)",(692),"(2,023)",,,
Redemption of securities²,1,1,435,1 1,1,1 1,,"(1,450)",,"(1,450)",,,
Transfers6,1,1,434,,,,(435),1,,1,,,
Cost of share-based payment arrangements,,43,(200),二,1,1,1,434,1,434,,,
Other movements,一,"22,414","140,572",11,1,1,一,(146),(500),(646),,,
At 31 Dec 2020,"24,624",,,"1,816",457,"(20,375)","26,935","196,443","8,552","204,995",,,
,,"22,367","138,191",,,,,,,,,,
At 1 Jan 2019,"23,789",,"7,383","(1,532)",(206),"(26,133)","29,777","186,253","7,996","194,249",,,
Profit for the year,,,,"(1,759) 1,424",204,"1,000",,"7,383 869","1,325 148","8,708 1,017",,,
Other comprehensive income (net of tax) - debt instruments at fair value through other comprehensive income,,,,"1,146",,,,"1,146",6,"1,152",,,
：equity instruments designated at fair value through other comprehensive income,,,,278,204,,,278 204,88,366 206,,,
cash flow hedges - changes in fair value of financial liabilities designated at fair value upon initial,,,,,,,,,2,,,,
recognition arising from changes in own credit risk ：remeasurement of defined benefit asset/,,,(2.002),,,,,"(2,002)",,"(2,002)",,,
liability ：share of other comprehensive income of,,,,5,,,,5,8,13,,,
associates and joint ventures - effects of hyperinflation,,,217,21,,,,21,,21,,,
-exchange differences,,,,,,"1,000",,"217 1,000",44,"217 1,044",,,
Total comprehensive income for the year Shares issued under employee remuneration,,,,"5,624 1,424",,204,"1,000","8,252","1,473","9,725",,,
and share plans,557,,,(495),,,,62,,62,,,
Shares issued in lieu of dividends and,,,,,,,,,,,,,
amounts arising thereon,,,,"2,687",,,,"2,687",,2.687,,,
Dividends to shareholders,,"(1,496)",,"(11,683)",,,,"(11,683)",(777),"(12,460)",,,
Redemption of securities?,,,,(12),,,,"(1,508)",,"(1,508",,,
Transfers6,,一,,"2,475",,,,"(2,475) 二 478",一,478,,,
Cost of share-based payment arrangements Cancellation of shares7,二,(68),1,"478 (1,000)",,,,,,,,,
