2019,Wealth and Personal Banking,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
Revenue,Reported,"25,552","15,256","14,894,396","56,098"
Revenue,Currency translation,(208),(103),"(107),(53),(471)",
Revenue,Significant items,221,11,"82,(997),(683)",
Revenue,- customer redress programmes,155,,"1,163",
Revenue,"- disposals, acquisitions and investment in new businesses",52,-,"(820),(768)",
Revenue,- fair value movements on financial instruments,,,"84,(179),(84)",
Revenue,- currency translation on significant items,7,-,"(2),1,6",
Revenue,Adjusted,"25,565","15,164","14,869,(654),54,944",
ECL,Reported,"(1,437)","(1,192)","(162),35,(2,756)",
ECL,Currency translation,89,30,"9,1,129",
ECL,Adjusted,"(1,348)","(1,162)","(153),36,(2,627)",
Operating expenses,Reported,"(17,351)","(9,905)","(13,790),(1,303),(42,349)",
Operating expenses,Currency translation,135,18,"21,49,223",
Operating expenses,- costs of structural reform,-,4,"42,112,158",
Operating expenses,- customer redress programmes,"1,264",17,"—,—,1,281",
Operating expenses,- goodwill impairment,431,"2,956","3,962,—,7,349",
Operating expenses,- restructuring and other related costs,180,51,"217,379,827",
Operating expenses,- settlements and provisions in connection with legal and regulatory matters,(69),-,"2,6,(61)",
Operating expenses,- currency translation on significant items,22,27,"2,2,53",
Operating expenses,Adjusted,"(15,388)","(6,832)","(9,544),(755),(32,519)",
Share of profit in associates and joint ventures,Reported,55,-,"—,2,299,2,354",
Share of profit in associates and joint ventures,Currency translation,(1),-,"—,(2),(3)",
Share of profit in associates and joint ventures,Adjusted,54,-,"—,2,297,2,351",
Profit before tax,Reported,"6,819","4,159","942,1,427,13,347",
Profit before tax,Currency translation,15,(55),"(77),(5),(122)",
Profit before tax,- revenue,221,11,"82,(997),(683)",
Profit before tax,- operating expenses,"1,828","3,055","4,225,499,9,607",
Profit before tax,Adjusted,"8,883","7,170","5,172,924,22,149",
Loans and advances to customers (net),Reported,"443,025","346,105","246,492,1,121,1,036,743",
Loans and advances to customers (net),Currency translation,"12,593","7,676","5,639,45,25,953",
Loans and advances to customers (net),Adjusted,"455,618","353,781","252,131,1,166,1,062,696",
Customer accounts,Reported,"753,769","388,723","295,880,743,1,439,115",
Customer accounts,Currency translation,"14,382","8,459","8,214,37,31,092",
Customer accounts,Adjusted,"768,151","397,182","304,094,780,1,470,207",
