,2020,2020,2019,2018
,Notes*,$m,$m,$m
Net interest expense,,"(2,632)","(2,554)","(1,112)"
-interest income,,473,"1,249","2,193"
-interest expense,,"(3,105)","(3,803)","(3,305)"
Fee (expense)/income,,(12),（2),0
Net income from financial instruments held for trading or managed ona fair value basis,3,801,"1,477",245
Changes in fair value of designated debtand related derivatives1,3,(326),(360),（77
Changes in fair value of other financial instruments mandatorily measured atfair value through profit or loss,3,"1,141","1,659",43
Gains less losses from financial investments,,-,二,4
Dividend income from subsidiaries²,,"8,156","15,117","55,304"
Other operating income,,"1,889","1,293",960
Total operating income,,"9,017","16,630","55,367"
Employee compensation and benefits,5,(56),(37),(37)
General and administrative expenses,,"(4,276)","(4,772)","(4,507)"
Impairment of subsidiaries,,(435),"(2,562)","2,064"
Total operating expenses,,"(4,767)","(7,371)","(2,480)"
Profit before tax,,"4,250","9,259","52,887"
Tax (charge)/credit,,(165),(218),(62)
Profit for the year,,"4,085","9,041",52.825
