2019,Europe,Asia,MENA,North America,Latin America,Total
Revenue,,$m,$m,$m,$m,"""$m,$m"""
Reported,2,18056,30419,3710,6587,"""3516,56098"""
Currency translation,2,125,34,-26,-17,"""-613,-471"""
Significant items,30,35,-826,68,10,-683
--- customer redress programmes,163,-,-,-,-,-163
"""--- disposals, acquisitions and investment in new businesses""",-,35,-828,59,1,-768
--- fair value movements on financial instruments,35,-,-9,9,9,-84
--- currency translation on significant items,4,-,2,-,-,-6
Adjusted,2,18211,30488,2858,6638,"""2913,54944"""
ECL,Reported,938,724,117,237,"""740,2756"""
Currency translation,-,-,2,-,-,129
Adjusted,940,724,115,237,611,"""611,-2627"""
Operating expenses,Reported,25,-1759,-13297,-1549,"""-5583,-2389,-42349"""
Currency translation,2,-166,25,28,11,"""351,223"""
Significant items,5,4495,126,112,543,"""369,9607"""
--- costs of structural reform,4,154,4,-,-,-158
--- customer redress programmes,5,1281,-,-,-,-1281
--- goodwill impairment,5,2522,-,97,431,"""337,7349"""
--- restructuring and other related costs,5,538,123,15,113,"""38,827"""
--- settlements and provisions in connection with legal and regulatory matters,5,-60,-,-,-,-61
--- currency translation on significant items,5,60,-,-,-,"""-6,-53"""
Adjusted,5,-17430,-13146,-1409,-5029,"""-1669,-32519"""
Share of profit/(loss) in associates and joint ventures,Reported,-12,2070,283,-,"""-,13,2354"""
Currency translation,-,-,-,-,-,"""-2,-3"""
Adjusted,-12,2069,283,-,-,"""11,2351"""
Profit/(loss) before tax,Reported,5,-4653,18468,2327,"""767,400,13347"""
Currency translation,5,-43,58,4,-,"""-135,-122"""
Significant items,5,4525,161,-714,611,"""379,8924"""
--- revenue,30,35,-826,68,10,-683
--- operating expenses,5,4495,126,112,543,"""369,9607"""
Adjusted,5,-171,18687,1617,1372,"""644,22149"""
Loans and advances to customers (net),Reported,393850,477727,28556,113474,"""23136,1036743"""
Currency translation,18021,9114,-537,964,-1609,25953
Adjusted,411871,486841,28019,114438,21527,1062696
Customer accounts,Reported,528718,697358,38126,146676,"""28237,1439115"""
Currency translation,22977,10172,-731,979,-2305,31092
Adjusted,551695,707530,37395,147655,25932,1470207
