ECL of loans and advances to customers,Gross carrying amount2,Reported ECL,Central scenario ECL,Upside scenario ECL,Downside scenario ECL,Alternative scenarios ECL4,
ECL of loans and advances to customers,Gross carrying amount2,Reported ECL,Central scenario ECL,Upside scenario ECL,Downside scenario ECL,Alternative scenarios ECL4,
at 31 December 20191,$m,$m,$m,$m,$m,$m,
UK,"346,035",725,536,480,635,"1,050-2,100",
us,"203,610",148,149,132,161,,
Hong Kong,"418,102",328,243,241,244,550-700,
Mainland China,"104,004",124,118,95,106,150,
Canada,"74,620",80,79,63,108,,
Mexico,"32,632",69,68,48,99,,
UAE,"42,304",97,97,89 50,108 79,,
France,"124,618",55,53,,,,
