,Jan,May,Jul,Sep,Dec
Remuneration framework and governance,,,,,
"Group variable pay pool,workforce performance and paymatters,Gender Pay Gap report,and employee surveys",：,：,.,·,：
"Executive Director remuneration policy implementation,scorecards and pay proposals",·,：,：,·,：
Remuneration for other senior executives of the Group,：,：,0,0,：
Non-executive Director compensation,0,：,。,0,：
Shareholder consultation and proxy adviser views,。,：,。,：,：
Directors'remuneration report,：,。,0,：,：
"Regulatory, risk and audit",,,,,
"Informationon materialriskandaudit events,and performanceandremuneration impacts forindividuals involved",·,：,：,：,：
"Regulatoryupdatesand filings,includingapproachand outcomes for theidentificationof Material Risk Takers",：,：,：,·,：
Corporate governance briefings,。,：,。,。,：
Principal subsidiaries,,,,,
Matters from subsidiary committees,·,：,：,：,.
