Total,Of which:,UK,Hong Kong
Gross carrying/nominal amount,ECL coverage,Gross carrying/nominal amount,"ECL coverage,Gross carrying/nominal amount,ECL coverage"
Stage 1,Not collateralised,"61,820","0.1,7,266,0.1,32,478,—"
Stage 1,Fully collateralised,"89,319","0.1,18,535,—,41,798,—"
Stage 1,LTV ratio:,"46,318","0.1,7,018,0.1,28,776,—"
Stage 1,LTV ratio:,"32,583","0.1,9,349,—,10,815,0.1"
Stage 1,LTV ratio:,"5,018","0.1,1,649,0.1,1,436,0.1"
Stage 1,LTV ratio:,"5,400","0.2,519,—,771,—"
Stage 1,Partially collateralised (A):,"6,563","0.2,682,—,1,627,0.1"
Stage 1,Partially collateralised (A):,collateral value on A,"3,602,535,1,142,—"
Stage 1,Total,"157,702","0.1,26,483,0.1,75,903,—"
Stage 2,Not collateralised,"3,040","1.2,1,857,1.2,440,0.2"
Stage 2,Fully collateralised,"5,184","1.1,1,419,1.2,1,501,0.6"
Stage 2,LTV ratio:,"2,167","1.1,615,1.8,955,0.3"
Stage 2,LTV ratio:,"1,986","0.9,712,0.6,497,1.0"
Stage 2,LTV ratio:,333,"2.1,16,6.3,29,—"
Stage 2,LTV ratio:,698,"1.1,76,1.3,20,—"
Stage 2,Partially collateralised (B):,500,"0.6,296,0.3,42,—"
Stage 2,Partially collateralised (B):,collateral value on B,"203,56,25,—"
Stage 2,Total,"8,724","1.1,3,572,1.1,1,983,0.5"
Stage 3,Not collateralised,315,"57.8,66,92.4,—,—"
Stage 3,Fully collateralised,557,"14.9,404,12.9,17,11.8"
Stage 3,LTV ratio:,87,"16.1,42,7.1,6,16.7"
Stage 3,LTV ratio:,90,"7.8,69,4.3,10,—"
Stage 3,LTV ratio:,89,"15.7,72,4.2,—,—"
Stage 3,LTV ratio:,291,"16.5,221,19.5,1,—"
Stage 3,Partially collateralised (C):,773,"41.5,507,27.8,—,—"
Stage 3,Partially collateralised (C):,collateral value on C,"380,166,—,—"
Stage 3,Total,"1,645","35.6,977,26.0,17,11.8"
POCI,Not collateralised,—,"—,—,—,—,—"
POCI,Fully collateralised,1,"—,—,—,—,—"
POCI,LTV ratio:,1,"—,—,—,—,—"
POCI,LTV ratio:,51% to 75%,"—,—,—,—,—"
POCI,LTV ratio:,76% to 90%,"—,—,—,—,—"
POCI,LTV ratio:,91% to 100%,"—,—,—,—,—"
POCI,Partially collateralised (D):,—,"—,—,—,—,—"
POCI,Partially collateralised (D):,collateral value on D,"—,—,—,—,—"
POCI,Total,1,"—,—,—,—,—"
At 31 Dec 2019,"168,072",0.5,"31,032,1.0,77,903,0.1"
