,Non-credit impaired,Non-credit impaired,Non-credit impaired,Non-credit impaired,Credit impaired,Credit impaired,Credit impaired,Credit impaired,Total,Total
,Stage 1 Gross,Stage 1 Gross,Stage 2,Stage 2,Stage 3,Stage 3,POCI,POCI,Total,Total
,carrying/ nominal,Allowance,Gross carrying/ nominal,Allowance,Gross carrying/ nominal,Allowance,Gross carrying/ nominal,Allowance,Gross carrying/ nominal,Allowance
,amount $m,for ECL $m,amount $m,for ECL $m,amount $m,for ECL $m,amount $m,for ECL $m,amount $m,for ECL $m
At1Jan 2020,"1,561,613","(1,464)","105,551","(2,441)","14,335","(5,121)",345,(99),"1,681,844","(9,125)"
Transfers of financial instruments:,"(129,236)","(1,122)","116,783","1,951","12,453",(829),1,1,1,1
transfers from stage 1 to stage 2 =,"(298,725)",947,"298,725",(947),,,1,,,一
- transfers from stage 2 to stage 1,"172,894","(2,073)","(172,894)","2,073",一,1,,,,
- transfers to stage 3,"(3,942)",30,"(10,320)",986,"14,262","(1,016)",,,,
- transfers from stage 3,537,(26),"1,272",(161),"(1,809)",187,,,一,1
Net remeasurement of ECL arising from transfer of stage,,907,1,"(1,158)",,(750),1,,,"(1,001)"
New financial assets originated or purchased,1,,,,1,,,二,1,
Assets derecognised (including final repayments),"437,836",(653),1,1,1,1,25,(1),"437,861",(654)
Changes to risk parameters - further lending/repayment,"(313,347)",160,"(37,409)",464,"(3,430)",485,(23),2,"(354,209)","1,111"
Changes to risk parameters -credit,"(83,147)",157,"29,092",85,(597),248,(50),(2),"(54,702)",488
quality Changes to models used for ECL,1,(408),1,"(4,374)",1,"(4,378)",二,(39),1,"(9,199)"
calculation Assets written off,1,134,1,294,1,5,1,1,1,433
Credit-related modifications that resulted in derecognition,二,二,二,二,"(2,946)","2,944",(30),30,"(2,976)","2,974"
Foreign exchange,1,1,一,1,(23),7,1,1,(23),7
Others,"32,808",(47) 5,"9,123 292",(223) (1),633 (1),(163) 8,4 8,(3),"42,568",(436) 11
At 31Dec 2020,"(76) 1,506,451","(2,331)","223,432","(5,403)","20,424","(7,544)",279,(1) (113),"223 1,750,586","(15,391)"
ECL income statement change for,,,,,,,,,,
the period,,297,,"(4,689)",,"(4,390)",,(40),,"(8,822)"
Recoveries Others,,,,,,,,,,326
Total ECL income statement,,,,,,,,,,(84)
change for the period,,,,,,,,,,"(8,580)"
