At,31 Dec,31 Dec,2020,2019,$m,$m
Ref*,At,31 Dec,31 Dec,2020,2019,"$m,$m"
Common equity tier 1 ('CET1') capital: instruments and reserves,At,31 Dec,31 Dec,2020,2019,"$m,$m"
1,Capital instruments and the related share premium accounts,At,31 Dec,31 Dec,2020,"2019,$m,$m"
,ordinary shares,At,31 Dec,31 Dec,2020,"2019,$m,$m"
2,Retained earnings,At,31 Dec,31 Dec,2020,"2019,$m,$m"
3,Accumulated other comprehensive income (and other reserves)¹,At,31 Dec,31 Dec,2020,"2019,$m,$m"
5,Minority interests (amount allowed in consolidated CET1),At,31 Dec,31 Dec,2020,"2019,$m,$m"
5a,Independently reviewed interim net profits net of any foreseeable charge or dividend,At,31 Dec,31 Dec,2020,"2019,$m,$m"
6,Common equity tier 1 capital before regulatory adjustments,At,31 Dec,31 Dec,2020,"2019,$m,$m"
28,Total regulatory adjustments to common equity tier 1,At,31 Dec,31 Dec,2020,"2019,$m,$m"
29,Common equity tier 1 capital,At,31 Dec,31 Dec,2020,"2019,$m,$m"
36,Additional tier 1 capital before regulatory adjustments,At,31 Dec,31 Dec,2020,"2019,$m,$m"
43,Total regulatory adjustments to additional tier 1 capital,At,31 Dec,31 Dec,2020,"2019,$m,$m"
44,Additional tier 1 capital,At,31 Dec,31 Dec,2020,"2019,$m,$m"
45,Tier 1 capital,At,31 Dec,31 Dec,2020,"2019,$m,$m"
51,Tier 2 capital before regulatory adjustments,At,31 Dec,31 Dec,2020,"2019,$m,$m"
57,Total regulatory adjustments to tier 2 capital,At,31 Dec,31 Dec,2020,"2019,$m,$m"
58,Tier 2 capital,At,31 Dec,31 Dec,2020,"2019,$m,$m"
59,Total capital,At,31 Dec,31 Dec,2020,"2019,$m,$m"
