Registered offices,38,"Konigsallee 21/23, Düsseldorf, Germany, 40212"
,39,"No.44 Xin Ping Road Central, Encheng, Enping, Guangdong, China, 529400"
,40,"Room 1701-010 Heung Kong Building, 37 Jin Long Rd, Nansha District, Guangzhou, China"
,41,"34/F and 36/F, Hang Seng Bank Tower 1000 Lujiazui Ring Road, Pilot Free Trade Zone, Shanghai, Shanghai, China, 200120"
,42,"Claude Debussylaan 10 Office Suite 20, 1082MD, Amsterdam, Netherlands"
,43,"Commerce House, Wickhams Cay 1, P.O. Box 3140, Road Town, Tortola, British Virgin Islands, VG1110"
,44,"1 Queen's Road Central, Hong Kong"
,45,"The Corporation Trust Company of Nevada 311 S. Division Street, Carson City, Nevada, United States of America, 89703"
,46,"Corporation Service Company 2711 Centerville Road, Suite 400, Wilmington, Delaware, United States of America, 19808"
,47,"HSBC House Esplanade, St. Helier, Jersey, JE4 8UB"
,48,"10th Floor South Tower, Bangunan HSBC, No. 2, Leboh Ampang, Kuala Lumpur, Malaysia, 50100"
,49,"13th Floor, South Tower 2 Leboh Ampang, Kuala Lumpur, Malaysia, 50100"
,50,"10 Marina Boulevard #48-01 Marina Bay Financial Centre, Singapore, 018983"
,51,"52/60 M G Road Fort, Mumbai, India, 400 001"
,52,"16 Boulevard d'Avranches, Luxembourg, Luxembourg, L-1160"
,53,"557 Bouchard Level 20, Ciudad de Buenos Aires, Capital federal, Argentina, C1106ABG"
,54,"3rd Floor Merchantile Bank Chamber 16, Veer Nariman Road, Fort, Mumbai, India, 400001"
,55,"Immeuble Cœur Défense 110 esplanade du Général de Gaulle, Courbevoie, France, 92400"
,56,"Level 36 Tower 1 International Towers Sydney, 100 Barangaroo Avenue, Sydney, New South Wales, Australia, 2000"
,57,"Isidora Goyenechea 2800 23rd floor, Las Condes, Santiago, Chile, 7550647"
,58,"HSBC Building Shanghai ifc, 8 Century Avenue, Pudong, Shanghai, China, 200120"
,59,"6th floor HSBC Centre 18, Cybercity, Ebene, Mauritius, 72201"
,60,"2 Paveletskaya square building 2, Moscow, Russian Federation, 115054"
,61,"13F-14F, 333 Keelung Road, Sec.1, Taipei, 110, Taiwan"
,62,"25 de Mayo 471, Montevideo, Uruguay, 11000"
,63,"The Metropolitan 235 Dong Khoi Street, District 1, Ho Chi Minh City, Viet Nam"
,64,"Esentepe mah. Büyükdere Caddesi No.128, Istanbul, Turkey, 34394"
,65,"66 Teryan street, Yerevan, Armenia, 0009"
,66,"885 West Georgia Street 3rd Floor, Vancouver, British Columbia, Canada, V6C 3E9"
,67,"306 Corniche El Nil, P.O. Box 124, Maadi, Egypt, 11728"
,68,"116 Archbishop Street, Valletta, Malta"
,,
,69,"Level 1, Building No. 8, Gate Village Dubai International Financial Centre, United Arab Emirates, P.O. Box 30444"
,70,"Majer Consulting, Office 54/44, Building A1, Residence Ryad Anfa, Boulevard Omar El Khayam, Casa Finance City (CFC), Casablanca, Morocco"
,71,"Al Khuwair Office PO Box 1727 PC111 CPO Seeb, Muscat, Oman"
,72,"1800 Tysons Boulevard Suite 50, Tysons, Virginia, United States of America, 22102"
,73,"66 Wellington Street West, Suite 5300, Toronto, Ontario, Canada, M5K 1E6"
