,$m
At 31 Dec 2020,
+100 basis point parallel move inall yield curves,(665)
As a percentage of total shareholders'equity,(0.34)%
-100 basis point parallel move inall yield curves,409
Asa percentage of total shareholders'equity 0.21%,Asa percentage of total shareholders'equity 0.21%
At 31 Dec 2019,At 31 Dec 2019
+100 basis point parallel move inall yield curves (702),+100 basis point parallel move inall yield curves (702)
Asa percentage of total shareholders'equity (0.38)%,Asa percentage of total shareholders'equity (0.38)%
-100 basis point parallel move inall yield curves 732,-100 basis point parallel move inall yield curves 732
Asa percentage of total shareholders'equity 0.4%,Asa percentage of total shareholders'equity 0.4%
