,Assets,Assets,Assets,,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities
,Financial investments,Trading assets,Designated and otherwise mandatorily measured at fair value through profit or loss,Derivatives,Total $m,Trading liabilities $m,Designated at fair value $m,Derivatives,Total
,Private equity including strategic,$m,$m,$m $m,,,1,$m,$m
,investments,930,4,"10,971","11,905",,4,一,4
,Asset-backed securities,"1,286",523,25,"1 1,834",1 二,1 1,1,1
,Loans held for securitisation,1,二 1,二,1 1,1 1 29,"5,301",1 1,1
,Structured notes Derivatives with monolines,1,1,1 1,68,68,1 1,1,"5,330 一"
,Other derivatives,1 1,1,1,"2,602","2,602",二,"二 4,187","4,187"
Other portfolios,"1,438","1,972",481,1,"3,891",129,5,1 135,
At 31 Dec 2020,"3,654","2,499","11,477","2,670","20,300",162,"5,306 4,188","9,656",
Private equity including strategic,,,,,,,,,
investments,716,4,"8,831",,"9,551",4,,4,
Asset-backed securities,874,934,28,一,"1,836",一,,,
Loans held for securitisation,一,1,39,1,40,1,一 一,一,
Structured notes,,3,1,1,3,47,"5,016","5,063",
Derivatives with monolines,,1,一,66,66,二,1 1,1,
Other derivatives,,一,一,"2,070","2,070",1,"2,302","2,302",
Other portfolios,"1,628","4,037",578,1,"6,243",2,1,1 2,
At 31 Dec 2019,"3,218","4,979","9,476","2,136","19,809",53,"5,016 2,302","7,371",
