Footnotes,First call date,2020 Per security,2020 Total $m,2019 Total $m,2018 Total $m
Perpetual subordinated capital securities,"1, 3",$0.000,—,—,89
"$2,200m issued at 8.125%",Apr 2013,$0.000,—,—,76
"$3,800m issued at 8.000%",Dec 2015,$0.000,—,—,76
Perpetual subordinated contingent convertible securities,"2, 3",$56.250,—,84,84
"$1,500m issued at 5.625%",Nov 2019,$68.750,138,138,138
"$2,000m issued at 6.875%",Jun 2021,$63.750,143,143,143
"$2,250m issued at 6.375%",Sep 2024,$63.750,156,156,156
"$2,450m issued at 6.375%",Mar 2025,$63.750,180,180,180
"$3,000m issued at 6.000%",May 2027,$60.000,147,147,73
"$2,350m issued at 6.250%",Mar 2023,$65.000,117,117,59
"$1,800m issued at 6.500%",Mar 2028,$46.000,—,—,—
"$1,500m issued at 4.600%",Jun 2031,$52.500,90,88,95
"$1,000m issued at 6.000%",Sep 2022,$60.000,67,66,72
"$1,250m issued at 4.750%",Jul 2029,$47.500,67,68,70
"$1,000m issued at 5.875%",Sep 2026,$58.750,74,75,—
"SGD1,000m issued at 4.700%",Jun 2022,SGD47.000,35,34,35
SGD750m issued at 5.000%,Sep 2023,SGD50.000,27,28,—
Total,"1,241","1,324","1,270",,
