Transactions and balances during the year with subsidiaries,,,,
Transactions and balances during the year with subsidiaries,2020 Highest balance,Balance at 31 Dec,2019,Balance at 31Dec
,during the year,during the year,Highest balance during the year,Highest balance during the year
,$m,$m,$m,$m
Assets,,,,
Cash and balances with HSBC undertakings,"5,476","2,913","5,029","2,382"
Financial assets with HSBC undertakings designated and otherwise mandatorily measured at fair value,"65,253","65,253","61,964","61,964"
Derivatives,"5,784","4,698","3,902","2,002"
Loans and advances to HSBC undertakings,"10,785","10,443","43,436","10,218"
"Prepayments,accrued income and other assets","1,838","1,363",655,480
Investments in subsidiaries,"161,546","160,660","163,258","161,473"
Total related party assetsat 31 Dec,"250,682","245,330","278,244","238,519"
Liabilities,,,,
Amounts owed to HSBC undertakings,581,330,"1,553",464
Derivatives,"3,376","3,060","2,183","2,021"
"Accruals,deferred income and other liabilities","2,737","1,936",二,二
Subordinated liabilities,892,892,892,892
Total related party liabilities at 31 Dec,"7,586","6,218",4628,"3,377"
Guarantees and commitments,"15,661","13,787","11,541","11,061"
