,2020 $m,2019 $m,2018
Profit,,,$m
Profit attributable to the ordinary shareholders of the parent company,"3,898","5,969","12,608"
Impairment of goodwill and other intangible assets (net of tax),"1,036",7.349,三
Increase/(decrease)in PVIF (net of tax),(253),"(1,248)",（506)
"Profit attributable to the ordinary shareholders,excluding goodwillimpairment and PVIF","4,681","12,070","12,102"
Significant items (net of tax)and UK bank levy,"2,402","2,251","2,590"
"Profit attributable to theordinary shareholders,excluding goodwill impairment,PVIF,significant items and",,,
UK bank levy,"7,083","14,321","14,692"
Equity,,,
Average total shareholders'equity,"189,719","189,035","186,979"
Effect of average preference sharesand other equity instruments Average ordinary shareholders'equity,"(22,326)","(23,614)","(23,496)"
"Effect of goodwill,PVIFand other intangibles (netof deferred tax)","167,393","165,421","163,483"
Average tangible equity,"(17,292)","(22,574)","(22,102)"
"Fair value of own debt,DvAand otheradjustments","150,101","142,847","141,381"
"Average tangible equity excluding fair value of own debt,DvA and other adjustments",422,"1,032","2,439"
,"150,523","143,879","143,820"
Ratio,%,%,%
Return on average ordinary shareholders'equity,,,
Return on average tangible equity,2.3,3.6,7.7
Return on average tangible equity excluding significant items and UK bank levy,3.1 4.7,8.4 10.0,8.6 10.2
