ECB,European Central Bank
ECL,"Expected credit losses.In the income statement, ECL is recorded as a change in expected credit losses and other credit impairmentcharges.Inthebalancesheet,ECLis"
,recorded asanallowance for financial instruments to which only the impairment requirements in IFRS 9 are applied
EEA,European Economic Area
Eonia,Euro Overnight Index Average
EPS,Earnings per ordinary share
ESG,Environmentalcialndge
€STR,Euro short-term rate
Eu Euribor,European Union
EVE,Euro interbank offered rate Economic value of equity
F,
FAST-Infra,Finance to Accelerate the Sustainable Transition-
FCA,Infrastructure
FFVA,Financial Conduct Authority (UK)
,Funding fair valueadjustment estimation methodologyon
FPA,derivative contracts
FRB,Fixed pay allowance Federal Reserve Board (US)
FRC,Financial Reporting Council
FSB,Financial Stability Board
FSCS,Financial Services Compensation Scheme
FTE,Full-time equivalent staff
FTSE,Financial Times Stock Exchange index
FVOCI1,Fair value through other comprehensive income
FVPL1 FX DPA,Fair value through profit or loss
,Three-year deferred prosecution agreement with the US
G,"Departmentof Justice,entered intoinJanuary 2018"
GAAP,Generally accepted accounting principles
GAC,Group Audit Committee
GBM,"Global Banking and Markets,a globalbusiness"
GDP,Gross domestic product
GDPR,General Data Protection Regulation
GEC,Group Executive Committee
GLCM Global Markets,Global Liquidity and Cash Management
,HSBC's capital markets services in Global Banking and
GMP,Markets
GPSP,Guaranteed minimum pension Group Performance Share Plan
GRC,Group Risk Committee
Group,HSBC Holdings together with its subsidiary undertakings
GTRF,Global Trade and Receivables Finance
H,
HKEx,"Hang Seng Bank Hang Seng Bank Limited,one of Hong Kong'slargest banks"
HKMA Hong Kong Monetary Authority,The Stock Exchange of Hong Kong Limited
HMRC,HM Revenue and Customs
HNAH,
Holdings ALCO,HSBC North America Holdings Inc.
,HSBC Holdings Asset and Liability Management Commitee
Hong Kong,Hong Kong Special Administrative Region of the People's
,Republic of China
HQLA,High-qualityliquidassets
HSBC HSBC Bank,HSBC Holdings together with its subsidiary undertakings
HSBC Bank,"HSBC Bank plc,also known as the non-ring-fenced bank"
Middle East,HSBC Bank Middle East Limited
,"HSBC Bank USAHSBC Bank USA, N.A.,HSBC's retail bank in the US"
HSBC Canada,"The sub-group, HSBC Bank Canada,HSBC Trust Company"
,"Canada,HSBCMortgageCorporationCanadaand HSBC SecuritiesCaadaconsolidatedforlqditype"
HSBC,HSBC Continental Europe
Continental,
Europe,
HSBC Finance,
,"HSBC Finance Corporation,the US consumer finance"
HSBC Holdings,"company (formerly Household International,Inc.)"
HSBC Private Bank (Suisse) HSBC UK,"HSBC Private Bank (Suisse) SA, HSBC's private bank in Switzerland HSBC UK Bank plc,also known as the ring-fenced bank"
HSBC USA,"Thesub-group,HSBC USAInc (the holdingcompanyof HSBC Bank USA)and HSBC Bank USA,consolidated for"
HSI,liquidity purposes
HSSL,HSBC Securities (USA) Inc. HSBC Securities Services (Luxembourg)
HTIE,HSBC International Trust Services (Ireland) Limited
1,
IAS,International Accounting Standards
IASB,International Accounting Standards Board
IBA,ICE Benchmark Administration
Ibor,Interbank offered rate
ICAAP,Internal capital adequacy assessment process
IFRSs,International Financial Reporting Standards
ILAAP,Internal liquidity adequacy assessment process
IRB,Internal ratings-based
ISDA,International Swaps and Derivatives Association
K,
KMP,Key Management Personnel
L,
LCR,Liquidity coverage ratio
LFRF,Liquidity and funding risk management framework
LGBT+,"Lesbian,gayisexualandtransgender.hepussign denotes other non-mainstream groups on the spectrums of"
,sexual orientationand gender identity
LGD' Libor,Loss given default
,London interbank offered rate Long-term incentive
,Loan-to-value ratio
M,
Mainland China,People's Republic of China excluding Hong Kong and Macau
MENA,Middle Eastand North Africa
MREL,Minimum requirement forown fundsand eligible liabilities
MRT1,Material Risk Taker
N Net operating,
income,Net operating income before change in expected credit lossesand othercredit impairmentcharges/Loan impairment
N,"chargesandothercreditprovisions,alsoreferred toas revenue"
NIM,Net interestincome Net interest margin
NSFR,Net stable funding ratio
NYSE,New York Stock Exchange
0,
OC,Other comprehensiveincome
OECD,Organisationof Economic Co-operation and Development
OFAC,Offce of Foreign Assets Control
OTC,
P,Over-the-counter
PACTA PBT,ParisAgreement Capital Transition Assessment
PD,Profit before tax
Performance,Probability of default Awards of HSBC Holdings ordinary shares under employee
shares1,share plans that are subject to corporate performance
Ping An,"conditions Ping An Insurance (Group) Company of China,Ltd,the"
,second-largest life insurer in the PRC
POCI PPI,Purchased or originated credit-impaired financial assets
PRA,Payment protection insurance Prudential Regulation Authority (UK)
PRC,People's Republic of China
Principal plan,HSBC Bank (UK) Pension Scheme
PVIF,Present value of in-force long-term insurance business and
,long-term investment contracts with DPF
PwC,"Thememberfirmsof thePwCnetwork,including"
,PricewaterhouseCoopers LLP
