Management view of adjusted revenue,2020,2019,2018,2020 vs 2019,$m,%
Global Markets,"7,290",,,"1,562",27,$m
FICC,"6,278","4,737","5,062","1,541",33,$m
Foreign Exchange,"3,373","2,671","2,898",702,26,$m
Rates,"1,734","1,451","1,416",283,20,$m
Credit,,615,748,556,90,$m
Equities,"1,012",991,"1,181",21,2,$m
Securities Services,"1,792","2,026","1,925",(234),(12),$m
Global Banking,"3,804","3,875","3,983",(71),(2),$m
Global Liquidity and Cash Management,"2,021","2,722","2,563",(701),(26),$m
Global Trade and Receivables Finance,769,802,784,(33),(4),$m
Principal Investments,114,261,219,(147),(56),$m
Credit and funding valuation adjustments,-252,41,-183,-293,> (200),$m
Other,-575,-642,-579,67,10,$m
"Markets Treasury, HSBC Holdings interest expense and Argentina hyperinflation",340,56,101,284,> 200,$m
Net operating income,"15,303","14,869","15,056",434,3,$m
