Financial liabilities designated at fair value,"1,267","150,866","5,306","157,439","9,549","149,901","5,016","164,466"
2020 Level 1 $m 2020 Level 2 $m 2020 Level 3 $m 2020 Total $m 2019 Level 1 $m 2019 Level 2 $m 2019 Level 3 $m 2019 Total $m,,,,,,,,
Recurring fair value measurements at 31 Dec,,,,,,,,
Assets,,,,,,,,
Trading assets 167,980 61,511 2,499 231,990 186,653 62,639 4,979 254,271
Financial assets designated and otherwise mandatorily measured at fair value through profit or loss 19,711 14,365 11,477 45,553 18,626 15,525 9,476 43,627
Trading assets,"61,511","2,499","231,990","186,653","62,639","4,979","254,271",
Financial assets designated and otherwise mandatorily measured at fair value through profit or loss,"19,711","14,365","11,477","45,553","18,626","15,525","9,476,43,627",
Derivatives,"2,602","302,454","2,670","307,726","1,728","239,131","2,136,242,995",
Financial investments,"303,654","94,746","3,654","402,054","261,341","93,018","3,218,357,577",
Trading liabilities,"53,290","21,814",162,"75,266","66,925","16,192","53,83,170",
Financial liabilities designated at fair value,"1,267","150,866","5,306","157,439","9,549","149,901","5,016,164,466",
Derivatives,"1,788","297,025","4,188","303,001","1,331","235,864","2,302,239,497",
Derivatives,"1,788","297,025","4,188","303,001","1,331","235,864","2,302","239,497"
