Year ended 31 Dec 2020,Wealth and Personal Banking,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
Profit before tax,"$m 3,704","$m 1,639","$m 3,616",(182),"$m 8,777"
Tax expense,-509,-661,-977,-531,"-2,678"
Profit after tax,"3,195",978,"2,639",-713,"6,099"
"Less attributable to: preference shareholders, other equity holders, non-controlling interests",-736,,-673,-784,-8
Profit attributable to ordinary shareholders of the parent company,"2,459",305,"1,855",-721,"3,898"
Increase in PVIF (net of tax),-242,-10,,-1,-253
Significant items (net of tax) and UK bank levy,190,208,958,"2,041","3,397"
Markets Treasury allocation and other adjustments,20,-14,-25,60,41
"Profit attributable to ordinary shareholders, excluding PVIF, significant items and UK bank levy","2,427",489,"2,788","1,379","7,083"
"Average tangible shareholders’ equity excluding fair value of own debt, DVA and other adjustments","26,551","37,826","41,566","44,580","150,523"
Return on average tangible equity excluding significant items and UK bank levy (%),9.1,1.3,6.7,3.1,4.7
