Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,Summaryoftinancialinstruments towhichtheimpairment requirements InIFRS9areapplied-byglobalbusiness (continued)Gross carrying/nominal amount Allowance for ECLStage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage3 POCI Total$m $m $m $m $m $m $m $m $m $m,
Loans and advances to customers at amortised cost,"951,583 80,182","951,583 80,182","951,583 80,182","13,378 3321,045,475","13,378 3321,045,475","13,378 3321,045,475","(1,297)","(2,284) (5,052)","(2,284) (5,052)",（99),"(8,732)",
-WPB,"424,342","424,342","16,797","5,131",1,"446,270",（602）,"(1,330)","(1,312)",1,"(3,244",
- CMB,"297,364","297,364","46,423","6,649",212,"350,648",(520),(765),"(3,190)",(68）,"(4,543)",
-GBM,"228,770","228,770","16,934","1,598",120,"247,422",(173),(177),(550),(31),(931),
Corporate Centre,"1,107","1,107",28,,,"1,135",(2),(12),,一,(14),
Loans and advances to banks at amortised cost,"67,769","67,769","1,450",1,1,"69,219",(14),(2),1,二,(16),
-WPB,"14,636","14,636",393,1,,"15,029",(1,1,1,1,（2,
-CMB,"8,842","8,842",219,,,"9,061",(2),1,1,1,(2),
-GBM,"30,391","30,391",818,1,,"31,209",（9,(1),1,一,(10)(2,
- Corporate Centre,"13,900","13,900",20,1,一,"13,920",(2),二,1,一,(10)(2,
Other financial assets measured at amortised cost,"613,200","613,200","1,827",151,1,"615,179",(38),(38）,(42),1,(118,
-WPB,"109,423","109,423",548,41,1,"110,012",(21,(30,(5,1,(56,
-CMB,"64,586","64,586",904,51,1,"65,542",(10),(7),(26),,(43),
-GBM,"361,541","361,541",3741,3722,,"361,952",(7),(1)1,(11)1,一,(19)-,
-Corporate Centre,"77,650","77,650",3741,3722,,"77,673",1,(1)1,(11)1,一,(19)-,
"Total gross caring amount on-balance sheet at31Dec 2019 1,632,552 83,459 13,529 3331,729,873","Total gross caring amount on-balance sheet at31Dec 2019 1,632,552 83,459 13,529 3331,729,873","Total gross caring amount on-balance sheet at31Dec 2019 1,632,552 83,459 13,529 3331,729,873","Total gross caring amount on-balance sheet at31Dec 2019 1,632,552 83,459 13,529 3331,729,873","Total gross caring amount on-balance sheet at31Dec 2019 1,632,552 83,459 13,529 3331,729,873","Total gross caring amount on-balance sheet at31Dec 2019 1,632,552 83,459 13,529 3331,729,873","Total gross caring amount on-balance sheet at31Dec 2019 1,632,552 83,459 13,529 3331,729,873","(1,349)","(2,324) (5,094)","(2,324) (5,094)",（99),"(8,866)",
Loans and other credit-related commitments,"577,631","577,631","21,618",771,9,"600,029",(137),(133),（59),1,(329),
-WPB,"213,093117.703","213,093117.703","1,94511,403",185558,19,"215,223129,673",(15(69),1(65),1(56),1,(16(190),
-CMB,"213,093117.703","213,093117.703","1,94511,403",185558,19,"215,223129,673",(15(69),1(65),1(56),1,(16(190),
-GBM,2,"246,805","8,2701",281,1,"255,103",(53)二,(67)1,(3)二,一,(123)-,
-Corporate Centre,30,30,"8,2701",281,1,30,(53)二,(67)1,(3)二,一,(123)-,
Financial guarantees,"17,684","17,684","2,340",186,4,"20,214",(16),(22),（10）,1,（48),
-WPB,972,972,"41,442",1105,14,"9778,997",1(9),1(12),1(6),1一,1(27),
- CMB,"7,446","7,446","41,442",1105,14,"9778,997",1(9),1(12),1(6),1一,1(27),
-GBM,"9,263","9,263",894,80一,1,"10,2373",(7)1,(10),(4)1,一,(21)二,
