Main topic,Sub-topic,,,Meetings at which topics were discussed1,Meetings at which topics were discussed1,Meetings at which topics were discussed1,Meetings at which topics were discussed1,Meetings at which topics were discussed1,Meetings at which topics were discussed1,Meetings at which topics were discussed1,Meetings at which topics were discussed1
,,,,,,May,Jun,Jul,Sep,Oct Nov,Dec
Strategy,Group strategy,Jan ：,Feb,Mar 。,Apr ：,：,：,：,：,,：
,Regional strategy/Businessline strategy,：,： 0,。,0,：,：,,：,：,0
,"Environmental,social,govrnce",0,,,,,,： ：,0 ：,： 0,0
Business and,Region/Business line,：,0,0,0,：,： ：,：,：,：,：
financial performance,Financial performance,：,： ：,0 0,： ：,： ：,0,,,,：
Financial,Results and accounts,：,：,0,：,。,0,： 0,： ：,0,：
,Dividends,：,,,,,,0,：,0 ：,?
,Group annual operating plan,：,：,：,,0,0,0,0,0,
Risk,Risk function,：,： ：,0 0,： ：,0 ：,0 0,,,,?
,Risk appetite,0,,,,：,0,：,：,。,.
,Capital and liquidity adequacy,：,： ：,0 。,0 ：,：,0,0 ：,。 0,。 0,：
Regulatory,Regulatory matters (including resolvability,0,,：,.,：,,：,0,0,
,assessment framework) Regulatory matters with regulators in,,,0,,0,,,,,
attendance² External External insights,,0,,0,,,,. 0,0 0,0 0,0
Technology,Strategic and operational,0 ：,0 ：,0 0,： 0,0 ：,0 ：,,：,0,
People and culture,"Purpose, values and engagement",0,：,0,0,：,0,,：,,
Governance,Subsidiary governance framework,,,,,,,.,：,0,
,Policies and terms of reference,。 0,,0 0,0 0,0 ：,,0 ：,0 0,0 0,
,Board/committe effectiveness,0,,0,,,,0,0,0,：
,Appointment and succession,：,,0,。,0 ：,,：,。,：,0
