Emoluments by bands,Emoluments by bands,,
Hong Kong dollars,US dollars,Number of highest paid employees Number of senior management,
"$1,500,001- $2,000,000","$193,397 - $257,863",1,1
"$4,500,001- $5,000,000","$580,191- $644,657",二,1
"$9,000,001- $9,500,000","$1,160,382- $1,224,848",1,1
"$9,500,001- $10,000,000","$1,224,848- $1,289,13",1,1
"$10,000,001- $10,500,000","$1,289,314- $1,353,779",,1
"$13,500,001- $14,000,000","$1,740,573- $1,05,039",,1
"$15,000,001- $15,500,000","$1,933,970- $1,998,436",,1
"$24,500,001- $25,000,000","$3,158,818-$3,223,284",一,1
"$27,000,001- $27,500,000","$3,481,146- $3,545,612",二,1
"$28,000,001- $28,500,000","$3,610,078- $3,674,543",二,1
"$28,500,001- $29,000,000","$3,674,543- $3,739,009",1,1
"$29,000,001- $29,500,000","$3,739,009- $3,803,475",`,2
"$30,000,001- $30,500,000","$3,867,940- $3,932,406",一,1
"$41,000,001- $41,500,000","$5,286,185- $5,350,651",二,1
"$43,500,001- $44,000,000","$5,608,514- $5,672,979",1,1
"$44,000,001- $44,500,000","$5,672,979- $5,737,445",1,1
"$44,500,001- $45,000,000","$5,737,445 - $5,801,910",,1
"$48,500,001- $49,000,000","$6,253,170-$6,317,636",一,1
"$49,000,001- $49,500,000","$6,317,636- $6,382,101",一,1
"$50,500,001- $51,000,000","$6,511,033- $6,575,499",1,1
"$54,500,001- $55,000,000","$7,026,758-$7,091,224",2,
"$66,500,001- $67,000,000","$8,573,934- $8,638,400",1,1
"$78,000,001- $78,500,000","$10,056,645- $10,121,110",1,1
