Subsidiaries,% of share class held by immediate parent company (or by the Group where this varies),Footnotes
Lion International Management Limited,100.00,106
Lion Management (Hong Kong) Limited,100.00,"1,44"
Lyndholme Limited,100.00,44
Marks and Spencer Financial Services plc,100.00,143
Marks and Spencer Unit Trust Management Limited,100.00,143
Maxima S.A. AFJP (In Liquidation),99.98,53
"Mexicana de Fomento, S.A. de C.V.",100.00,"(99.90),14"
Midcorp Limited,100.00,16
Midland Bank (Branch Nominees) Limited,100.00,15
Midland Nominees Limited,100.00,15
MIL (Cayman) Limited,100.00,74
MW Gestion SA,100.00,53
"Promocion en Bienes Raices, S.A. de C.V.",100.00,"(99.99),14"
Prudential Client HSBC GIS Nominee (UK),100.00,16
PT Bank HSBC Indonesia,99.99,"(98.93),144"
PT HSBC Sekuritas Indonesia,85.00,145
R/CLIP Corp.,100.00,13
Real Estate Collateral Management Company,100.00,13
Republic Nominees Limited,100.00,20
Republic Overseas Capital Corporation,100.00,95
RLUKREF Nominees (UK) One Limited,100.00,"1,16"
RLUKREF Nominees (UK) Two Limited,100.00,"1,16"
S.A.P.C. - Ufipro Recouvrement,99.99,34
Saf Baiyun,100.00,"(99.99),4,34"
Saf Guangzhou,100.00,"(99.99),4,34"
Saf Zhu Jiang Shi Ba,100.00,"(99.99),4,34"
Saf Zhu Jiang Shi Er,100.00,"(99.99),4,34"
Saf Zhu Jiang Shi Jiu,100.00,"(99.99),4,34"
Saf Zhu Jiang Shi Liu,100.00,"(99.99),4,34"
Saf Zhu Jiang Shi Qi,100.00,"(99.99),4,34"
Saf Zhu Jiang Shi Wu,100.00,"(99.99),4,34"
SCI HSBC Assurances Immo,100.00,"(99.99),55"
Serai Limited,100.00,"1,44"
Serai Technology Development (Shanghai) Limited,100.00,"10,147"
SFM,100.00,"(99.99),34"
SFSS Nominees (Pty) Limited,100.00,128
Shandong Rongcheng HSBC Rural Bank Company Limited,100.00,"10,148"
Shenzhen HSBC Development Company Ltd,100.00,149
Sico Limited,100.00,150
SNC Dorique,99.99,"1,9,151"
SNC Les Mercuriales,100.00,"(99.99),1,9,34"
SNC Les Oliviers D'Antibes,60.00,55
SNC Makala,100.00,"(99.99),1,9,34"
SNCB/M6 - 2008 A,100.00,"(99.99),4,34"
SNCB/M6-2007 A,100.00,"(99.99),4,34"
SNCB/M6-2007 B,100.00,"(99.99),4,34"
Société Française et Suisse,100.00,"(99.99),34"
Somers Dublin DAC,100.00,"(99.99),121"
Somers Nominees (Far East) Limited,100.00,21
Sopigest,100.00,"(99.99),34"
South Yorkshire Light Rail Limited,100.00,16
St Cross Trustees Limited,100.00,15
Sun Hung Kai Development (Lujiazu III) Limited,100.00,"10,152"
Swan National Limited,100.00,16
Tasfiye Halinde HSBC Odeme Sistemleri Bilgisayar Teknolojileri Basin Yayin Ve Musteri Hizmetleri (In Liquidation),100.00,153
The Hongkong and Shanghai Banking Corporation Limited,100.00,44
The Venture Catalysts Limited,100.00,16
Tooley Street View Limited,100.00,"2,16"
Tower Investment Management,100.00,154
Trinkaus Australien Immobilien Fonds Nr. 1 Brisbane GmbH & Co. KG,100.00,"(99.33),38"
Trinkaus Australien Immobilien-Fonds Nr. 1 Treuhand-GmbH,100.00,"(99.33),6,38"
