"Year 1,$m","Year 2,$m","Year 3,$m","Year 4,$m","Year 5,$m","Total,$m"
Change in Jan 2021 to Dec 2021 (based on balance sheet at 31 December 2020),23,40,43,39,"31,176,+,25bps,-25bps,+,100bps,-100bps"
+25bps,23,40,43,39,
-25bps,-23,,,-95,31 (32)
+100bps,91,159,171,156,702
-100bps,-95,-169,-189,-169,-761
Change in Jan 2020 to Dec 2020 (based on balance sheet at 31 December 2019),-21,12,-13,-14,"-17,-79,+,25bps,-25bps,+,100bps,-100bps"
+25bps,-21,,,,(17)
-25bps,23,12,8,9,65
+100bps,-96,-64,-53,-54,-339
-100bps,99,61,41,38,282
