2020,Europe,Asia,MENA,North America,Latin America,Total
Revenue,Footnotes,$m,$m,$m,$m,"$m,$m"
Reported,2,18419,26922,2628,6375,"3020,50429"
Significant items,242,37,0,43,-3,-63
customer redress programmes,21,0,0,0,0,21
"disposals, acquisitions and investment in new businesses",0,0,0,10,0,10
fair value movements on financial instruments,3,-5,0,-2,-3,-264
restructuring and other related costs,9,-32,0,35,0,170
Adjusted,2,18177,26885,2628,6418,"3017,50366"
ECL,Reported,3751,2284,758,900,"1124,8817"
Adjusted,3751,2284,758,900,1124,8817
Operating expenses,Reported,2,18874,13662,1586,"5307,1938,34432"
Significant items,2203,171,83,601,91,2973
customer redress programmes,54,0,0,0,0,-54
impairment of goodwill and other intangibles,803,0,64,223,0,1090
past service costs of guaranteed minimum pension benefits equalisation,17,0,0,0,0,17
restructuring and other related costs,1425,171,19,378,91,1908
settlements and provisions in connection with legal and regulatory matters,12,0,0,0,0,12
Adjusted,2,16671,13491,1503,4706,"1847,31459"
Share of profit/(loss) in associates and joint ventures,Reported,1,1856,-265,0,"5,1597"
Significant items,0,0,462,0,0,462
impairment of goodwill,0,0,462,0,0,462
Adjusted,1,1856,197,0,5,2059
Profit/(loss) before tax,Reported,-4205,12832,19,168,"-37,8777"
Significant items,1961,134,545,644,88,3372
revenue,242,-37,0,43,-3,-63
operating expenses,2203,171,83,601,91,2973
share of profit in associates and joint ventures,0,0,462,0,0,462
Adjusted,-2244,12966,564,812,51,12149
Loans and advances to customers (net),Reported,408495,473165,28700,107969,"19658,1037987"
Adjusted,408495,473165,28700,107969,19658,1037987
Customer accounts,Reported,629647,762406,41221,182028,"27478,1642780"
Adjusted,629647,762406,41221,182028,27478,1642780
