Footnotes,First call date,Maturity date,2020,$m,2019,$m
Additional tier 1 capital securities guaranteed by HSBC Holdings,,Jun 2030,900,900,900,900
Additional tier 1 capital securities guaranteed by HSBC Bank plc,,Apr 2020,956,"1,345","925,420",
Additional tier 1 capital securities guaranteed by HSBC Bank plc,,Nov 2031,956,"1,345","925,420",
Tier 2 securities issued by HSBC Bank plc,,Jun 1990,750,"1,850","750,1,850",
Tier 2 securities issued by HSBC Bank plc,,Sep 1990,500,"1,850","500,1,850",
Tier 2 securities issued by HSBC Bank plc,,Jun 1992,300,"1,850","300,1,850",
Tier 2 securities issued by HSBC Bank plc,,May 2025,300,"1,850","300,1,850",
£300m 6.50% subordinated notes,,Jul 2023,409,"4,941","396,4,751",
£350m 5.375% callable subordinated step-up notes,,Nov 2025,583,"4,941","549,4,751",
£500m 5.375% subordinated notes,,Aug 2033,981,"4,941","875,4,751",
£225m 6.25% subordinated notes,,Jan 2041,306,"4,941","306,296",
£600m 4.75% subordinated notes,,Mar 2046,812,"4,941","812,785",
Tier 2 securities issued by The Hongkong and Shanghai Banking Corporation Ltd,,Jul 1991,400,"4,941","400,4,751",
Tier 2 securities issued by HSBC Bank Malaysia Berhad,,Nov 2022,124,"4,941","122,4,751",
Tier 2 securities issued by HSBC USA Inc.,,Sep 2020,748,"4,941","748,1,171",
Tier 2 securities issued by HSBC USA Inc.,,Jul 2097,222,"4,941","221,1,171",
Tier 2 securities issued by HSBC USA Inc.,,,200,"4,941","200,1,171",
"""Tier 2 securities issued by HSBC Bank USA, N.A.""",,Aug 2020,"1,246","4,941","1,246,4,941",
"""Tier 2 securities issued by HSBC Bank USA, N.A.""",,Nov 2034,497,"4,941","463,2,905",
"""Tier 2 securities issued by HSBC Bank USA, N.A.""",,Aug 2035,533,"4,941","496,2,905",
"""Tier 2 securities issued by HSBC Bank USA, N.A.""",,Jan 2039,700,"4,941","700,2,905",
Tier 2 securities issued by HSBC Finance Corporation,,Jan 2021,509,"4,941","507,2,905",
Tier 2 securities issued by HSBC Bank Canada,,Oct 1996,9,"4,941","9,26",
Tier 2 securities issued by HSBC Bank Canada,,Nov 2083,9,"4,941","9,26",
Securities issued by other HSBC subsidiaries,,,232,"4,941",236,
Subordinated liabilities issued by HSBC subsidiaries at 31 Dec,,,"10,223","4,941","363,",
Guaranteed by HSBC Holdings or HSBC Bank plc,,,"17,916","4,941","361,",
HSBC Bank plc exercised the call option on the security in April 2020 and the security was subsequently redeemed.,,,"6,040","4,941","616,",
The interest rate payable after November 2025 is the sum of the three-month sterling Libor plus 1.5 percentage points.,,,"23,956","4,941","977,",
"""These securities are included in the capital base of HSBC, a subset of which are included in accordance with the grandfathering provisions under CRR II, with the exception of $109m in relation to securities which matured 31 December 2020, settlement expected in June 2021, which are no longer eligible for inclusion in the capital base of HSBC.""",,,"23,956","4,941","977,",
"""HSBC tendered for these securities in November 2019. The principal balance is $358m and $383m respectively. The original notional value of these securities are $1,000m and $750m respectively.""",,,"23,956","4,941","977,",
"""HSBC tendered for these securities in 2017. In January 2018, a further tender was conducted. The principal balance is $507m. The original notional of these securities is $2,939m. This instrument matured and settled in January 2021.""",,,"23,956","4,941","977,",
These securities are ineligible for inclusion in the capital base of HSBC.,,,"23,956","4,941","977,",
These securities matured in 2020 and were redeemed.,,,"23,956","4,941","977,",
