Notes*,,
Notes*,31 Dec 2020$m,31 Dec 2019$m
Assets,,
Cash and balances with HSBC undertakings,"2,913","2,382"
Financial assets with HSBC undertakings designated and otherwise mandatorily measured at fair value,"65,253","61,964"
Derivatives 15,"4,698","2,002"
Loans and advances to HSBC undertakings,"10,443","10,218"
Financial investments,"17,485","16,106"
"Prepayments,accrued income and other assets","1,445",559
Current tax assets,二,203
Investments in subsidiaries,"160,660","161,473"
Intangible assets,276,333
Total assets at 31 Dec,"263,173","255,240"
Liabilities and equity,,
Liabilities,,
Amounts owed to HSBC undertakings,330,464
Financial liabilities designatedatfair value 24,"25,664","30,303"
Derivatives 15,"3,060","2,021"
Debt securities in issue 25,"64,029","56,844"
"Accruals,deferred incomeand other liabilities","4,865","1,915"
Subordinated liabilities 28,"17,916","18,361"
Current tax liabilities,71,二
Deferred tax liabilities,438,288
Total liabilities,"116,373","110,196"
Equity,,
Called up share capital 31,"10,347","10,319"
Share premium account,"14,277 13,959","14,277 13,959"
Other equity instruments,"22,414 20,743","22,414 20,743"
Mergerand other reserves,"34,757 37,539","34,757 37,539"
Retained earnings,"65,005 62,484","65,005 62,484"
Total equity,"146,800 145,044","146,800 145,044"
Total liabilities and equity at 31 Dec,"263,173 255,240","263,173 255,240"
