Matters considered during 2020,Jan,Feb,Apr,May,Jul,Sep,Dec
Board composition and succession,,,,,,,
"Board composition, including succession planning and skills matrices",·,·,·,·,·,·,·
Approval of diversity and inclusion policy,·,·,·,·,·,·,·
Approval of conflicts of interest policy,·,·,·,·,·,·,·
Executive talent and development,,,,,,,
Senior executive succession,·,·,·,·,·,·,·
Approval of executive succession plans,·,·,·,·,·,·,·
Talent programmes,·,·,·,·,·,·,·
Governance,,,,,,,
Board and committee evaluation,·,·,·,·,·,·,·
Subsidiary governance,·,·,·,·,·,·,·
Subsidiary and executive appointments,·,·,·,·,·,·,·
