,Due over Due over 1 month 3 months,Due over Due over 1 month 3 months,Due over Due over 1 month 3 months,Due over Due over 1 month 3 months,Due over Due over 1 month 3 months,Due over Due over 1 month 3 months,Due over Due over 1 month 3 months,Due over Due over 1 month 3 months,
,Due not more than 1 month,but not more than more than 3 months 6 months,but not,Due over 6 months but not more than,Due over 9 months but not more than,Due over 1 year but not more than,Due over 2 years but not more than,Due over,
,$m,$m,$m,9 months $m,1 year $m,2 years $m,5 years $m,5 years $m,Total $m
Financial assets Cash and balances at central banks,"304,481",二,二,二,二,1,1,1,"304,481"
Items in the course of collection from other banks,"4,094",二,二,二,二,二,二,一,"4,094"
Hong Kong Government certificates of,"40,420",,1,1,1,,,,
indebtedness Trading assets,"228,434","1 1,778",458,135,67,1 644,1 474,1 1,"40,420 231,990"
Financial assets designated or otherwise,,,,,,,,,
mandatorily measured at fair value Derivatives,"3,061 306,561",240 15,466 12,262 14,454 14,"1,424 441","1,992","37,654","45,553"
Loans and advances to banks,"51,652","11,283","5,640","3,068","2,284","4,059","424 3,359",245 271,"307,726 81,616"
Loans and advances to customers,"172,306","70,746","65,838","44,392","38,606","112,440","206,448","327,211","1,037,987"
-personal,"51,711","9,645","7,918","7,270","7,033","26,318","70,447","275,736","456,078"
- corporate and commercial,"101,684","55,009","51,755","31,529","28,553","76,225","125,393","47,446","517,594"
-financial,"18,911","6,092","6,165","5,593","3,020","9,897","10,608","4,029","64,315"
Reverse repurchase agreements-non-trading,"157,234","44,658","16,655","5,113","1,324","3,058","2,586",-,"230,628"
Financial investments,"47,270","77,450","44,255","14,523","24,112","48,741","100,007",,"490,693"
Accrued income and other financial assets,"93,118","5,951","2,743",475,458,267,444,"134,335","105,563"
Financial assets at 31 Dec 2020,"1,408,631","212,121","136,067","67,982","67,319","171,074","315,734","2,107","2,880,751"
Non-financial assets,二,二,二,二,二,二,,"501,823",
,,"212,121","136,067","67,982","67,319","171,074",二,"103,413","103,413"
Total assetsat 31Dec 2020,"1,408,631",,,,,,"315,734","605,236 2,984,164",
Off-balance sheet commitments received,,,,,,,,1,"60,849 1"
Loan and other credit-related commitments Financial liabilities,"60,849 二 1 二","60,849 二 1 二","60,849 二 1 二","60,849 二 1 二","60,849 二 1 二","60,849 二 1 二","60,849 二 1 二",,
Hong Kong currency notes in circulation,,,,,,,,,"40,420"
,"40,420 60,973","二 1,396",二 714,二 695,二 197,二 718,1,1,
Deposits by banks,"1,533,595","61,376","22,568","9,375","8,418","4,467","16,757 2,859",630,"82,080"
Customer accounts1,"766,631","32,429","15,511","6,276","5,825",,,,"1221,642,780"
-_personal,"588,887","22,856","5,963",,,"3,591","1,976",39,"832,278"
- corporate and commercial,"178,077","6,091","1,094","2,966 133","2,058",627,777,37,"624,171"
-financial Repurchase agreements-non-trading,"102,633","3,979","2,165",386,535 675,249 16,"106 1,035","46 1,012","186,331 111,901"
Items in the course of transmission to other,,,,,,,,,
banks Trading liabilities,"4,343 70,799","1 3,377",1 400,1 143,1 185,1 289,1 72,1 1,"4,343"
Financialliabilities designatedat,"18,434","7,333",,,,,,,"75,266"
fair value -debt securities in issue: covered bonds,1,1,"6,973 1","6,775","6,593","14,182 1,239","40,510 2,918","56,639","157,439"
：debt securities in issue: unsecured 1,"10,762","4,470","5,522","1 5,604","1 5,530","10,455","31,710","1 42,825","4,157 116,878"
-subordinated liabilities and preferred securities,1,1,1,1,1,1,"3,912","6,932","10,844"
-other2,"7,672","2,863","1,451","1,171","1,063","2,488","1,970","6,882","25,560"
Derivatives Debt securities in issue,"300,902 6,552","264 12,329",198,38,55,237,726,581,"303,001"
-covered bonds,1,1,"14,964 28","9,764","3,878","9,215","16,618","22,172","95,492"
-otherwise secured,"1,094","1,585","1,001","1 1,000",750,"1,275 274","999 1,640",1,"3,052"
-unsecured,"5,458","10,744","13,935","8,764","1 3,128","7,666","13,979","1,590","8,184"
Accrualsand other financial liabilities,"96,821","9,794","3,886",692,"1,174","1,742","3,179","20,582 3,053","84,256 120,341"
Subordinated liabilities,"619 2,236,091","1 99,848",237,1,12,12,,,
"Maturity analysis of assets, liabilities and off-balance sheet commitments (continued)","Maturity analysis of assets, liabilities and off-balance sheet commitments (continued)","Maturity analysis of assets, liabilities and off-balance sheet commitments (continued)","Maturity analysis of assets, liabilities and off-balance sheet commitments (continued)","Maturity analysis of assets, liabilities and off-balance sheet commitments (continued)","Maturity analysis of assets, liabilities and off-balance sheet commitments (continued)","Maturity analysis of assets, liabilities and off-balance sheet commitments (continued)","Maturity analysis of assets, liabilities and off-balance sheet commitments (continued)","Maturity analysis of assets, liabilities and off-balance sheet commitments (continued)","Maturity analysis of assets, liabilities and off-balance sheet commitments (continued)"
,Due not more than 1 month,Due over 1 month but not more than 3months,Due over 3months but not more than 6 months,Due over 6months but not more than 9 months,Due over 9 months but not more than 1year,Due over 1year but not more than 2years,Due over 2years but not more than,Due over 5years,Total
Financial assets,$m,$m,$m,$m,$m,$m,$m,$m,$m
Cash and balances at central banks,"154,099",1,1,1,1,1,1,1,"154,099"
Items in the course of collection from other banks,"4,956",-,1,-,-,1,1,1,4956
Hong Kong Government certificates of,,,,,,,,,
indebtedness,"38,380 252,009",1,1,二,二,1,1,1,38.380
Trading assets Financial assets designated at fair value,"4,846",644 74,412 381,62,452,152,540,1,"254,271"
Derivatives,"241,941",150,24,200,422,780,"2,356","34,568","43,627"
Loans and advances to banks,"41,554",7.826,4.877,27,22,112,294,425,"242,995"
Loans and advances to customers,"190,675","82,379","61,254","2.592 36,005",2.859,"6,848","2,005",642,"69,203"
-personal,"51,893","14,547","8,562","7,245","36,755","106,203","227,811","295,661","1,036,743 431,137"
- corporate and commercial,"118,585","61,629","45,924","25,006","6,931 25,069","22,923 71,751","66,761 147,139","252,275 39,958","535,061"
-financial,"20,197","6,203","6,768","3,754","4,755","11,529","13,911","3,428","70,545"
Reverse repurchase agreements,,,,,,,,,
- non-trading,"164,741","38,997","17,933","8,226","6,305","2,298","2,362",,"240,862"
Financial investments,"36,128","64,472","35,795","17,485","18,202","48,427","90,193","132,610","443,312"
Accrued income and other financial assets,"80,661","5,544","2,532",915,495,432,363,"2,037","92,979"
Financial assets at31 Dec 2019,"1,209,990","200,086","123,208","65,512","65,512","165,252","325,924","465,943","2,621,427"
Non-financial assets,"1 1,209,990",1,1,1,1,1,1,"93,725","93,725"
Total assets at 31 Dec 2019 Off-balance sheet commitments received,,"200,086","123,208","65,512","65,512","165,252","325,924","559,668","2,715,152"
Loan and other credit-related commitments,"63,199",1,1,,1,,,,
Financial liabilities,,,,1,,1,1,1,"63,199"
Hong Kong currency notes in circulation,"38,380",1,1,1,1,1,1,1,"38,380"
Deposits by banks,"46,397","4,167","2,773",454,844,"2,455",876,"1,056","59,022"
Customer accounts1,"1,287,358","81,038","38,343","11,530","11,342","5,275","4,075",154,"1,439,115"
-personal,"646,843","49,405","29,320","8,484","6,852","3,631","2,646",71,"747,252"
- corporate and commercial,"479,763","24,214","7,162",2.621,,,,,"519,317"
financial 1,"160,752","7,419","1,861",425,"3,009 1,481","1,119 525","1,388 41",41 42,"172,546"
Repurchase agreements-non-trading,"132,042","3,402","1,579","1,882",59,354,2,"1,024","140,344"
Items in the course of transmission to other,,,,,,,,,
banks Trading liabilities,"4.817 82,130",1,1,1,二,1,二,1,4817
Financial liabilities designatedat fair value,"12,844","209 4,667","265 4,236","148 4,552","102 5,196","287 26,081","29 43,534","二 63,356","83,170 164,466"
- debt securities in issue: covered bonds,1,1,1,1,"1,139",1,"2,663","1,159","4,961"
- debt securities in issue: unsecured,"8,884","2,046",2.946,"3,757","3,030","22,950","34,753","47,036","125,402"
-subordinated liabilities and preferred securities,23,,,1,1,一,"2,131","8,396","10,550"
-other Derivatives,"3,937 237,901","2,621 105","1,290",795,"1,027","3,131",3.987,"6,765","23,553"
Debt securities in issue,"8,183","17,374","73 12,799",10,18,68,540,782,"239,497 104,555"
- covered bonds,1,1,,"13,152","11,382","14,572 749","20,048 998","7,045","1,747"
-otherwise secured,2.015,2,248,1 161,1,219,958,"1 1,663","5,266"
-unsecured,"6,168","17,372","12,551","12,991","11,382","13,604",18.092,"5,382","97,542"
Accruals and other financial liabilities Subordinated liabilities,"87,796","9,078","3,914","1,244","2,058","1,592","2,823","2,890","111,395"
