,,,At 31Dec 2020
,Place of incorporation or registration,HSBC's interest % Share class,
Europe,,,
HSBC Bank plc,,100,"£1 Ordinary, $0.01 Non-cumulative third Dollar Preference"
HSBC UK Bank plc,England and Wales England and Wales,100,£1 Ordinary
HSBC Continental Europe,,99.99,€5 Actions
HSBC Trinkaus & Burkhardt AG1,France,99.33,Stuckaktien no par value
Asia,Germany,,
Hang Seng Bank Limited,Hong Kong,62.14,HK$5 Ordinary
HSBC Bank (China) Company Limited,People's Republic of,,
HSBC Bank Malaysia Berhad,China,100 100,CNY1 Ordinary
HSBC Life (International) Limited,Malaysia Bermuda,100,RM0.5 Ordinary HK$1 Ordinary
The Hongkong and Shanghai Banking Corporation Limited,Hong Kong,100,Ordinary no par value
Middle Eastand North Africa,,,
,,,$1 Ordinary and $1 Cumulative Redeemable
HSBC Bank Middle East Limited North America,United Arab Emirates,100,Preference shares (CRP)
HSBC Bank Canada,Canada,100,
"HSBC Bank USA, N.A.",us,100,Common no par value and Preference no par value $100 Common and $0.01 Preference
Latin America,,,
"HSBC Mexico,S.A.,Institucion de Banca Multiple,",,,
Grupo Financiero HSBC,Mexico,99.99,MXN2 Ordinary
