,Guaranteed bonus and sign- on payments1,Guaranteed bonus and sign- on payments1,Guaranteed bonus and sign- on payments1,Guaranteed bonus and sign- on payments1,Guaranteed bonus and sign- on payments1,Guaranteed bonus and sign- on payments1,Guaranteed bonus and sign- on payments1
,Made during,Number of,Awarded during year ($m),Number of,Highest such award to a single person,Paid during,Number of
Executive Directors,year ($m) 1,beneficiaries 1,1,beneficiaries 1,($m) 二,year ($m) 1,beneficiaries 1
Senior management,1,1,1,二,二,1,1
Investment banking,0.5,1,36.6,38,7.3,35.0,37
Retail banking,0.9,1,5.3,11,1.8,4.6,11
Asset management,1,二,1.9,4,1.0,1.9,4
Corporate functions,1.0,1,5.8,12,2.0,5.8,12
Independent control functions,二,1,4.2,10,0.7,3.6,9
All other,1,二,4.4,6,1.3,4.4,6
Total,2.4,3,58.2,81,1,55.3,79
