Subsidiaries with significant non-controlling interests,,
Proportion of ownership interests and voting rights held by non-controlling interests,37.86 %,37.86%
Place of business,Hong Kong,Hong Kong
Profit attributable to non-controlling interests,843,"1,229"
Accumulated non-controlling interests of the subsidiary,"7,604","7,262"
Dividends paid to non-controlling interests,625,720
Summarised financial information:,,
"Summarised financial information:,total assets","224,483,212,485","212,485"
"Summarised financial information:,total liabilities","202,907,191,819","191,819"
"Summarised financial information:,net operating income before changes in expected credit losses and other credit impairment charges","4,568,5,558","5,558"
"Summarised financial information:,profit for the year","2,230,3,251","3,251"
"Summarised financial information:,total comprehensive income for the year","2,535,3,461","3,461"
