Footnotes,At 31 December 2019,LCR,HQLA,Net outflows,NSFR
1,HSBC UK Bank plc (ring-fenced bank),165,75,45,150
2,HSBC Bank plc (non-ring-fenced bank),142,103,72,106
3,The Hongkong and Shanghai Banking Corporation - Hong Kong branch,163,109,67,128
3,The Hongkong and Shanghai Banking Corporation - Singapore branch,147,14,10,120
,Hang Seng Bank,185,42,23,148
,HSBC Bank China,180,21,11,151
,HSBC Bank USA,125,73,59,122
4,HSBC Continental Europe,152,44,29,117
,HSBC Middle East - UAE branch,202,11,5,159
4,HSBC Canada,124,18,14,124
,HSBC Mexico,208,9,4,136
