Customer accounts by country/territory,2020,2019
Europe,"629,647","528,718"
UK,"504,275","419,642"
France,"55,111","47,699"
Germany,"21,605","19,361"
Switzerland,"10,102","6,558"
other,"38,554","35,458"
Asia,"762,406","697,358"
Hong Kong,"531,489","499,955"
Singapore,"55,140","48,569"
mainland China,"56,826","48,323"
Australia,"29,286","23,191"
India,"20,199","14,935"
Malaysia,"15,997","14,624"
Taiwan,"16,041","14,668"
Indonesia,"5,198","4,732"
other,"32,230","28,361"
Middle East and North Africa (excluding Saudi Arabia),"41,221","38,126"
United Arab Emirates,"20,974","17,949"
Turkey,"3,987","3,870"
Egypt,"5,659","5,186"
other,"10,601","11,121"
North America,"182,028","146,676"
US,"117,485","90,834"
Canada,"56,520","48,425"
other,"8,023","7,417"
Latin America,"27,478","28,237"
Mexico,"22,220","23,051"
other,"5,258","5,186"
At 31 Dec,"1,642,780","1,439,115"
