At 1 Jan 2020    635,961    (597)    17,382    (1,338)    5,046    (1,215)    658,389    (3,150)
Non-credit impaired\tStage 1\tStage 2\tStage 3\tTotal,,,,,,,
Gross carrying/nominal amount\t$m\t$m\t$m\t$m,,,,,,,
Allowance for ECL\t$m\t$m\t$m\t$m,,,,,,,
At 1 Jan 2020\t635,961\t-597\t17,382\t-1,338\t5,046\t-1,215\t658,389\t-3,150
Transfers of financial instruments    (16,019)    (629)    13,370    1,181    2,649    (552)    –    –,,,
Net remeasurement of ECL arising from transfer of stage    –    431    –    (555)    –    (8)    –    (132),,,,,,,
Net new and further lending/repayments    30,891    101    (5,407)    408    (677)    150    24,807    659,,,,
Change in risk parameters – credit quality    –    (147)    –    (2,025)    –    (1,258)    –    (3,430),,,,
Changes to models used for ECL calculation    –    (3)    –    (9)    –    5    –    (7),,,,,,,
Assets written off    –    –    –    –    (1,409)    1,407    1,409    1,407,,,
Foreign exchange and other    14,513    (23)    1,425    (67)    153    (23)    16,091    (121),,,,
Changes to models used for ECL calculation\t-\t(3)\t-\t(9)\t-\t5\t-\t(7),,,,,,,
Assets written off\t-\t-\t-\t-\t1,409\t1,407\t(1,409)\t1,407,,,
Foreign exchange and other\t14,513\t(22)\t1,425\t(67)\t153\t(32)\t16,091\t(121),,,,
At 31 Dec 2020\t665,346\t(866)\t26,770\t(2,405)\t5,762\t(1,503)\t697,878\t(4,774)
ECL income statement change for the period\t382\t-\t-\t-\t-\t-\t-\t-,,,,,,,
Recoveries\t-\t-\t-\t-\t-\t-\t280\t-,,,,,,,
Other\t-\t-\t-\t-\t-\t-\t-\t(25),,,,,,,
Total ECL income statement change for the period\t-\t-\t-\t-\t-\t-\t-\t(2,655),,,,,,
